contrib,contrib_label,component_label,layer_label,material_name,order,step_n_plus_1_name_label,method_label,quality_label,numeric_value,textual_value,lower_nummeric_value,upper_numeric_value,unit_label
http://orkg.org/orkg/resource/R145731,1 Cladding Layer Component (41Cr4),Bearing washer,Base material,C22.8,4,Heat treatment,Hardness profile,Hardness,320.0,,,,HV1
http://orkg.org/orkg/resource/R145731,1 Cladding Layer Component (41Cr4),Bearing washer,Cladding layer,41Cr4,4,Heat treatment,Hardness profile,Hardness,640.0,,,,HV1
http://orkg.org/orkg/resource/R145731,1 Cladding Layer Component (41Cr4),Bearing washer,Base material,C22.8,4,Heat treatment,Micrograph,Microstructure,,martensite,,,
http://orkg.org/orkg/resource/R145731,1 Cladding Layer Component (41Cr4),Bearing washer,Cladding layer,41Cr4,4,Heat treatment,Micrograph,Microstructure,,martensite,,,
http://orkg.org/orkg/resource/R145731,1 Cladding Layer Component (41Cr4),Bearing washer,Cladding layer,41Cr4,5,Machining,Fatigue test,Fatigue,332.0,,,,hour
http://orkg.org/orkg/resource/R145731,1 Cladding Layer Component (41Cr4),Bearing washer,Cladding layer,41Cr4,5,Machining,Scratch test,Coefficient of friction,0.3,,,,
http://orkg.org/orkg/resource/R145734,1 Cladding Layer Component (X45CrSi9-3),Bearing washer,Cladding layer,X45CrSi9-3,1,Deposition welding,Hardness profile,Hardness,7.0,,,,Gigapascal
http://orkg.org/orkg/resource/R145734,1 Cladding Layer Component (X45CrSi9-3),Bearing washer,Cladding layer,X45CrSi9-3,2,Hot forming,Hardness profile,Hardness,6.0,,,,Gigapascal
http://orkg.org/orkg/resource/R145734,1 Cladding Layer Component (X45CrSi9-3),Bearing washer,Cladding layer,X45CrSi9-3,4,Heat treatment,Hardness profile,Hardness,9.0,,,,Gigapascal
http://orkg.org/orkg/resource/R145734,1 Cladding Layer Component (X45CrSi9-3),Bearing washer,Cladding layer,X45CrSi9-3,5,Machining,Fatigue test,Fatigue,260.0,,,,hour
http://orkg.org/orkg/resource/R145734,1 Cladding Layer Component (X45CrSi9-3),Bearing washer,Cladding layer,X45CrSi9-3,5,Machining,Surface profile,Surface roughness,0.13,,,,micrometer
http://orkg.org/orkg/resource/R162733,1 Cladding Layer Component (Delcrome 253),Shaft with bearing seat,Base material,C22.8,1,Deposition welding,Hardness profile,Hardness,200.0,,195.0,210.0,HV1
http://orkg.org/orkg/resource/R162733,1 Cladding Layer Component (Delcrome 253),Shaft with bearing seat,Cladding layer,Delcrome 253,1,Deposition welding,Hardness profile,Hardness,400.0,,400.0,410.0,HV1
http://orkg.org/orkg/resource/R162733,1 Cladding Layer Component (Delcrome 253),Shaft with bearing seat,Base material,C22.8,1,Deposition welding,Micrograph,Microstructure,,ferritic,,,
http://orkg.org/orkg/resource/R162733,1 Cladding Layer Component (Delcrome 253),Shaft with bearing seat,Cladding layer,Delcrome 253,1,Deposition welding,Micrograph,Microstructure,,The used etching of 2% nitric acid is not able to attack the corrosion resistant material.,,,
http://orkg.org/orkg/resource/R162733,1 Cladding Layer Component (Delcrome 253),Shaft with bearing seat,Cladding layer,Delcrome 253,2,Hot forming,Hardness profile,Hardness,500.0,,500.0,510.0,HV1
http://orkg.org/orkg/resource/R162733,1 Cladding Layer Component (Delcrome 253),Shaft with bearing seat,Base material,C22.8,2,Hot forming,Hardness profile,Hardness,150.0,,190.0,150.0,HV1
http://orkg.org/orkg/resource/R162733,1 Cladding Layer Component (Delcrome 253),Shaft with bearing seat,Base material,C22.8,2,Hot forming,Micrograph,Microstructure,,ferritic-pearlitic,,,
http://orkg.org/orkg/resource/R162733,1 Cladding Layer Component (Delcrome 253),Shaft with bearing seat,Cladding layer,Delcrome 253,2,Hot forming,Micrograph,Microstructure,,The used etching of 2% nitric acid is not able to attack the corrosion resistant material.,,,
http://orkg.org/orkg/resource/R162788,1 Cladding Layer Component (Stellite 6),Shaft with bearing seat,Cladding layer,Stellite 6,1,Deposition welding,Hardness profile,Hardness,400.0,,360.0,400.0,HV1
http://orkg.org/orkg/resource/R162788,1 Cladding Layer Component (Stellite 6),Shaft with bearing seat,Base material,C22.8,1,Deposition welding,Hardness profile,Hardness,200.0,,200.0,205.0,HV1
http://orkg.org/orkg/resource/R162788,1 Cladding Layer Component (Stellite 6),Shaft with bearing seat,Base material,C22.8,1,Deposition welding,Micrograph,Microstructure,,ferritic,,,
http://orkg.org/orkg/resource/R162788,1 Cladding Layer Component (Stellite 6),Shaft with bearing seat,Cladding layer,Stellite 6,1,Deposition welding,Micrograph,Microstructure,,The used etching of 2% nitric acid is not able to attack the corrosion resistant material.,,,
http://orkg.org/orkg/resource/R162788,1 Cladding Layer Component (Stellite 6),Shaft with bearing seat,Cladding layer,Stellite 6,2,Hot forming,Hardness profile,Hardness,400.0,,390.0,410.0,HV1
http://orkg.org/orkg/resource/R162788,1 Cladding Layer Component (Stellite 6),Shaft with bearing seat,Base material,C22.8,2,Hot forming,Hardness profile,Hardness,150.0,,150.0,180.0,HV1
http://orkg.org/orkg/resource/R162788,1 Cladding Layer Component (Stellite 6),Shaft with bearing seat,Base material,C22.8,2,Hot forming,Micrograph,Microstructure,,ferritic-pearlitic,,,
http://orkg.org/orkg/resource/R162788,1 Cladding Layer Component (Stellite 6),Shaft with bearing seat,Cladding layer,Stellite 6,2,Hot forming,Micrograph,Microstructure,,The used etching of 2% nitric acid is not able to attack the corrosion resistant material.,,,
http://orkg.org/orkg/resource/R162790,1 Cladding Layer Component (100Cr6),Shaft with bearing seat,Base material,C22.8,1,Deposition welding,Hardness profile,Hardness,175.0,,160.0,180.0,HV1
http://orkg.org/orkg/resource/R162790,1 Cladding Layer Component (100Cr6),Shaft with bearing seat,Cladding layer,100Cr6,1,Deposition welding,Hardness profile,Hardness,430.0,,380.0,430.0,HV1
http://orkg.org/orkg/resource/R162790,1 Cladding Layer Component (100Cr6),Shaft with bearing seat,Cladding layer,100Cr6,1,Deposition welding,Micrograph,Microstructure,,pearlitic,,,
http://orkg.org/orkg/resource/R162790,1 Cladding Layer Component (100Cr6),Shaft with bearing seat,Base material,C22.8,1,Deposition welding,Micrograph,Microstructure,,ferritic,,,
http://orkg.org/orkg/resource/R162790,1 Cladding Layer Component (100Cr6),Shaft with bearing seat,Base material,C22.8,2,Hot forming,Hardness profile,Hardness,175.0,,160.0,180.0,HV1
http://orkg.org/orkg/resource/R162790,1 Cladding Layer Component (100Cr6),Shaft with bearing seat,Cladding layer,100Cr6,2,Hot forming,Hardness profile,Hardness,365.0,,370.0,390.0,HV1
http://orkg.org/orkg/resource/R162790,1 Cladding Layer Component (100Cr6),Shaft with bearing seat,Base material,C22.8,2,Hot forming,Micrograph,Microstructure,,ferritic-pearlitic,,,
http://orkg.org/orkg/resource/R162790,1 Cladding Layer Component (100Cr6),Shaft with bearing seat,Cladding layer,100Cr6,2,Hot forming,Micrograph,Microstructure,,pearlitic,,,
http://orkg.org/orkg/resource/R171849,Air-cooled 2 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,1,Deposition welding,Cross-section,Cladding thickness,2.28,,,,Millimeter
http://orkg.org/orkg/resource/R171849,Air-cooled 2 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,1,Deposition welding,Cross-section,Width,17.5,,,,Millimeter
http://orkg.org/orkg/resource/R171849,Air-cooled 2 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,1,Deposition welding,Hardness profile,Hardness,715.0,,,,HV0.1
http://orkg.org/orkg/resource/R171849,Air-cooled 2 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Base material,20MnCr5,1,Deposition welding,Hardness profile,Hardness,199.0,,,,HV0.1
http://orkg.org/orkg/resource/R171849,Air-cooled 2 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Base material,20MnCr5,1,Deposition welding,Micrograph,Microstructure,,ferritic-pearlitic,,,
http://orkg.org/orkg/resource/R171849,Air-cooled 2 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,1,Deposition welding,Micrograph,Microstructure,,martensite and austenite,,,
http://orkg.org/orkg/resource/R171849,Air-cooled 2 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,2,Hot forming,Cross-section,Cladding thickness,1.93,,,,Millimeter
http://orkg.org/orkg/resource/R171849,Air-cooled 2 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,2,Hot forming,Cross-section,Width,27.5,,,,Millimeter
http://orkg.org/orkg/resource/R171849,Air-cooled 2 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Base material,20MnCr5,3,Cooling,Cross-section,Mannesmann effect,,true,,,
http://orkg.org/orkg/resource/R171849,Air-cooled 2 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,3,Cooling,Hardness profile,Hardness,,,600.0,760.0,HV0.1
http://orkg.org/orkg/resource/R171849,Air-cooled 2 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Base material,20MnCr5,3,Cooling,Hardness profile,Hardness,,,200.0,250.0,HV0.1
http://orkg.org/orkg/resource/R171849,Air-cooled 2 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,3,Cooling,Micrograph,Microstructure,,martensite,,,
http://orkg.org/orkg/resource/R171849,Air-cooled 2 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Base material,20MnCr5,3,Cooling,Micrograph,Microstructure,,ferritic-pearlitic,,,
http://orkg.org/orkg/resource/R172160,Water-cooled 2 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,1,Deposition welding,Cross-section,Cladding thickness,2.28,,,,Millimeter
http://orkg.org/orkg/resource/R172160,Water-cooled 2 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,1,Deposition welding,Cross-section,Width,17.5,,,,Millimeter
http://orkg.org/orkg/resource/R172160,Water-cooled 2 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Base material,20MnCr5,1,Deposition welding,Hardness profile,Hardness,199.0,,,,HV0.1
http://orkg.org/orkg/resource/R172160,Water-cooled 2 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,1,Deposition welding,Hardness profile,Hardness,715.0,,,,HV0.1
http://orkg.org/orkg/resource/R172160,Water-cooled 2 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,1,Deposition welding,Micrograph,Microstructure,,martensite and austenite,,,
http://orkg.org/orkg/resource/R172160,Water-cooled 2 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,2,Hot forming,Cross-section,Cladding thickness,1.93,,,,Millimeter
http://orkg.org/orkg/resource/R172160,Water-cooled 2 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,2,Hot forming,Cross-section,Width,27.5,,,,Millimeter
http://orkg.org/orkg/resource/R172160,Water-cooled 2 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Base material,20MnCr5,3,Cooling,Cross-section,Mannesmann effect,,true,,,
http://orkg.org/orkg/resource/R172160,Water-cooled 2 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Base material,20MnCr5,3,Cooling,Hardness profile,Hardness,,,450.0,550.0,HV0.1
http://orkg.org/orkg/resource/R172160,Water-cooled 2 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,3,Cooling,Hardness profile,Hardness,,,680.0,760.0,HV0.1
http://orkg.org/orkg/resource/R172160,Water-cooled 2 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Base material,20MnCr5,3,Cooling,Micrograph,Microstructure,,martensite,,,
http://orkg.org/orkg/resource/R172160,Water-cooled 2 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,3,Cooling,Micrograph,Microstructure,,martensite,,,
http://orkg.org/orkg/resource/R172247,Air-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,1,Deposition welding,Cross-section,Cladding thickness,3.34,,,,Millimeter
http://orkg.org/orkg/resource/R172247,Air-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,1,Deposition welding,Cross-section,Width,17.5,,,,Millimeter
http://orkg.org/orkg/resource/R172247,Air-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,1,Deposition welding,Hardness profile,Hardness,715.0,,,,HV0.1
http://orkg.org/orkg/resource/R172247,Air-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Base material,20MnCr5,1,Deposition welding,Hardness profile,Hardness,199.0,,,,HV0.1
http://orkg.org/orkg/resource/R172247,Air-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,1,Deposition welding,Micrograph,Microstructure,,martensite and austenite,,,
http://orkg.org/orkg/resource/R172247,Air-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Base material,20MnCr5,1,Deposition welding,Micrograph,Microstructure,,ferritic-pearlitic,,,
http://orkg.org/orkg/resource/R172247,Air-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,2,Hot forming,Cross-section,Cladding thickness,2.69,,,,Millimeter
http://orkg.org/orkg/resource/R172247,Air-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,2,Hot forming,Cross-section,Width,27.5,,,,Millimeter
http://orkg.org/orkg/resource/R172247,Air-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Base material,20MnCr5,3,Cooling,Cross-section,Mannesmann effect,,true,,,
http://orkg.org/orkg/resource/R172247,Air-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,3,Cooling,Hardness profile,Hardness,,,600.0,760.0,HV0.1
http://orkg.org/orkg/resource/R172247,Air-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Base material,20MnCr5,3,Cooling,Hardness profile,Hardness,,,200.0,250.0,HV0.1
http://orkg.org/orkg/resource/R172247,Air-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,3,Cooling,Micrograph,Microstructure,,martensite,,,
http://orkg.org/orkg/resource/R172247,Air-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Base material,20MnCr5,3,Cooling,Micrograph,Microstructure,,ferritic-pearlitic,,,
http://orkg.org/orkg/resource/R172322,Water-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,1,Deposition welding,Cross-section,Cladding thickness,3.34,,,,Millimeter
http://orkg.org/orkg/resource/R172322,Water-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,1,Deposition welding,Cross-section,Width,17.5,,,,Millimeter
http://orkg.org/orkg/resource/R172322,Water-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,1,Deposition welding,Hardness profile,Hardness,715.0,,,,HV0.1
http://orkg.org/orkg/resource/R172322,Water-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Base material,20MnCr5,1,Deposition welding,Hardness profile,Hardness,199.0,,,,HV0.1
http://orkg.org/orkg/resource/R172322,Water-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,1,Deposition welding,Micrograph,Microstructure,,martensite and austenite,,,
http://orkg.org/orkg/resource/R172322,Water-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Base material,20MnCr5,1,Deposition welding,Micrograph,Microstructure,,ferritic-pearlitic,,,
http://orkg.org/orkg/resource/R172322,Water-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,2,Hot forming,Cross-section,Cladding thickness,2.69,,,,Millimeter
http://orkg.org/orkg/resource/R172322,Water-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,2,Hot forming,Cross-section,Width,27.5,,,,Millimeter
http://orkg.org/orkg/resource/R172322,Water-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Base material,20MnCr5,3,Cooling,Cross-section,Mannesmann effect,,true,,,
http://orkg.org/orkg/resource/R172322,Water-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Base material,20MnCr5,3,Cooling,Hardness profile,Hardness,,,450.0,550.0,HV0.1
http://orkg.org/orkg/resource/R172322,Water-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,3,Cooling,Hardness profile,Hardness,,,680.0,760.0,HV0.1
http://orkg.org/orkg/resource/R172322,Water-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Cladding layer,X45CrSi9-3,3,Cooling,Micrograph,Microstructure,,martensite,,,
http://orkg.org/orkg/resource/R172322,Water-cooled 3 Cladding Layer Component (x45CrSi9-3),Shaft with bearing seat,Base material,20MnCr5,3,Cooling,Micrograph,Microstructure,,martensite,,,
