,comparison,number_of_papers,number_of_contributions,number_of_resources,number_of_literals,number_of_predicates,number_of_related_resources,number_of_related_figures,research_field
30,http://orkg.org/orkg/resource/R138393,6,6,12,211,29,0,0,Planetary Sciences
31,http://orkg.org/orkg/resource/R138418,6,6,10,93,22,0,0,Oceanography
32,http://orkg.org/orkg/resource/R138483,6,6,9,92,19,0,0,Oceanography
33,http://orkg.org/orkg/resource/R138501,8,8,13,128,22,0,0,Oceanography
34,http://orkg.org/orkg/resource/R138542,6,6,12,271,50,0,0,Planetary Sciences
35,http://orkg.org/orkg/resource/R138633,9,9,55,120,26,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
36,http://orkg.org/orkg/resource/R139050,55,55,158,183,9,0,0,Bioinformatics
37,http://orkg.org/orkg/resource/R139190,26,26,27,483,30,0,0,Plasma and Beam Physics
38,http://orkg.org/orkg/resource/R139191,4,4,39,42,18,0,0,Medicinal Chemistry and Pharmaceutics
39,http://orkg.org/orkg/resource/R139551,10,10,68,133,26,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
40,http://orkg.org/orkg/resource/R139567,12,12,85,13,20,0,0,Artificial Intelligence
41,http://orkg.org/orkg/resource/R139568,7,7,10,35,7,0,0,Urban Studies
42,http://orkg.org/orkg/resource/R139845,7,7,59,166,43,0,0,Planetary Sciences
43,http://orkg.org/orkg/resource/R140347,19,19,87,250,26,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
44,http://orkg.org/orkg/resource/R140449,5,5,39,64,22,0,0,Medicinal Chemistry and Pharmaceutics
45,http://orkg.org/orkg/resource/R140463,8,8,48,106,26,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
46,http://orkg.org/orkg/resource/R140465,10,10,65,133,26,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
47,http://orkg.org/orkg/resource/R140714,5,5,38,56,23,0,0,Medicinal Chemistry and Pharmaceutics
48,http://orkg.org/orkg/resource/R140726,6,6,68,145,42,0,0,Earth Sciences
49,http://orkg.org/orkg/resource/R140805,6,6,67,163,39,0,0,Earth Sciences
50,http://orkg.org/orkg/resource/R141123,6,6,52,143,43,0,0,Earth Sciences
51,http://orkg.org/orkg/resource/R141317,6,6,44,64,21,0,0,Medicinal Chemistry and Pharmaceutics
52,http://orkg.org/orkg/resource/R141336,5,5,14,81,44,0,0,Oceanography
53,http://orkg.org/orkg/resource/R141349,5,5,14,86,40,0,0,Oceanography
54,http://orkg.org/orkg/resource/R141369,5,5,9,73,26,0,0,Oceanography
55,http://orkg.org/orkg/resource/R141385,5,5,9,79,27,0,0,Oceanography
56,http://orkg.org/orkg/resource/R141810,7,7,37,92,26,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
57,http://orkg.org/orkg/resource/R141811,8,8,41,106,26,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
58,http://orkg.org/orkg/resource/R142850,11,11,39,49,10,0,0,Medicinal Chemistry and Pharmaceutics
59,http://orkg.org/orkg/resource/R143746,6,6,185,315,15,0,0,Earth Sciences
60,http://orkg.org/orkg/resource/R143856,6,6,126,210,19,0,0,Earth Sciences
61,http://orkg.org/orkg/resource/R144148,6,6,65,147,35,0,0,Earth Sciences
62,http://orkg.org/orkg/resource/R144251,6,6,83,152,11,0,0,Earth Sciences
63,http://orkg.org/orkg/resource/R144512,7,10,64,35,14,0,0,Medicinal Chemistry and Pharmaceutics
64,http://orkg.org/orkg/resource/R145951,14,15,49,48,23,0,0,Urban Studies and Planning
65,http://orkg.org/orkg/resource/R146851,20,32,529,612,32,0,0,Information Science
66,http://orkg.org/orkg/resource/R147040,23,23,92,303,26,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
67,http://orkg.org/orkg/resource/R147152,5,5,6,86,24,0,0,Oceanography
68,http://orkg.org/orkg/resource/R147167,5,5,6,79,24,0,0,Oceanography
69,http://orkg.org/orkg/resource/R147183,5,5,6,89,35,0,0,Oceanography
70,http://orkg.org/orkg/resource/R147196,6,6,7,87,24,0,0,Oceanography
71,http://orkg.org/orkg/resource/R147317,6,6,61,175,29,0,0,Planetary Sciences
72,http://orkg.org/orkg/resource/R147365,6,6,63,139,28,0,0,Planetary Sciences
73,http://orkg.org/orkg/resource/R147449,6,6,90,212,23,0,0,Earth Sciences
74,http://orkg.org/orkg/resource/R147507,6,6,69,138,18,0,0,Earth Sciences
75,http://orkg.org/orkg/resource/R148381,9,11,78,32,14,0,0,Medicinal Chemistry and Pharmaceutics
76,http://orkg.org/orkg/resource/R148382,8,9,66,24,14,0,0,Medicinal Chemistry and Pharmaceutics
77,http://orkg.org/orkg/resource/R149849,10,10,64,133,26,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
78,http://orkg.org/orkg/resource/R151005,2,14,125,139,38,0,0,Semantic Web
79,http://orkg.org/orkg/resource/R152727,6,6,46,0,6,0,0,Urban Studies and Planning
80,http://orkg.org/orkg/resource/R153801,20,25,781,565,12,0,0,Energy Systems
81,http://orkg.org/orkg/resource/R155154,6,6,56,221,38,0,0,Earth Sciences
82,http://orkg.org/orkg/resource/R155191,6,6,53,183,31,0,0,Earth Sciences
83,http://orkg.org/orkg/resource/R155248,6,6,53,240,37,0,0,Planetary Sciences
84,http://orkg.org/orkg/resource/R155445,6,6,46,183,30,0,0,Planetary Sciences
85,http://orkg.org/orkg/resource/R155526,6,6,7,80,19,0,0,Oceanography
86,http://orkg.org/orkg/resource/R155543,6,6,7,98,24,0,0,Oceanography
87,http://orkg.org/orkg/resource/R155561,5,5,6,93,26,0,0,Oceanography
88,http://orkg.org/orkg/resource/R155584,6,6,7,117,36,0,0,Oceanography
89,http://orkg.org/orkg/resource/R155800,21,21,158,381,27,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
90,http://orkg.org/orkg/resource/R157074,20,20,147,342,27,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
91,http://orkg.org/orkg/resource/R157076,9,9,65,148,27,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
92,http://orkg.org/orkg/resource/R160149,5,5,6,83,23,0,0,Oceanography
93,http://orkg.org/orkg/resource/R160168,5,5,6,66,14,0,0,Oceanography
94,http://orkg.org/orkg/resource/R160174,5,5,6,83,23,0,0,Oceanography
95,http://orkg.org/orkg/resource/R160189,5,5,6,80,24,0,0,Oceanography
96,http://orkg.org/orkg/resource/R160205,5,5,6,83,27,0,0,Oceanography
97,http://orkg.org/orkg/resource/R160527,6,6,59,126,20,0,0,Planetary Sciences
98,http://orkg.org/orkg/resource/R160596,6,6,60,131,18,0,0,Earth Sciences
99,http://orkg.org/orkg/resource/R160597,6,6,60,131,18,0,0,Earth Sciences
100,http://orkg.org/orkg/resource/R160742,11,11,12,116,20,0,0,Oceanography
101,http://orkg.org/orkg/resource/R160768,7,7,8,109,25,0,0,Oceanography
102,http://orkg.org/orkg/resource/R161787,6,6,24,55,24,0,0,Natural Language Processing
103,http://orkg.org/orkg/resource/R164670,19,21,431,262,46,0,0,Bioinformatics
104,http://orkg.org/orkg/resource/R165700,19,21,436,276,46,0,0,Bioinformatics
105,http://orkg.org/orkg/resource/R165702,8,29,130,253,30,0,0,Natural Language Processing
106,http://orkg.org/orkg/resource/R165794,9,9,20,15,10,0,0,"Information Systems, Process and Knowledge Management"
107,http://orkg.org/orkg/resource/R165866,10,18,328,200,26,0,0,Natural Language Processing
108,http://orkg.org/orkg/resource/R166315,4,4,82,77,27,0,0,Natural Language Processing
109,http://orkg.org/orkg/resource/R172690,4,4,17,26,14,0,0,Natural Language Processing
110,http://orkg.org/orkg/resource/R172704,4,4,18,48,27,0,0,Natural Language Processing
111,http://orkg.org/orkg/resource/R172826,8,8,16,29,5,0,0,Semantic Web
112,http://orkg.org/orkg/resource/R172932,5,5,25,15,7,0,0,Semantic Web
113,http://orkg.org/orkg/resource/R175108,5,5,16,56,14,0,0,Digital Communications and Networking
114,http://orkg.org/orkg/resource/R175304,6,6,30,18,7,0,0,Semantic Web
115,http://orkg.org/orkg/resource/R176017,4,4,7,20,6,0,0,Computer Sciences
116,http://orkg.org/orkg/resource/R176038,9,9,9,113,10,0,0,Computer and Systems Architecture
117,http://orkg.org/orkg/resource/R178164,4,4,7,20,6,0,0,Computer Sciences
118,http://orkg.org/orkg/resource/R178188,4,4,12,20,7,0,0,Computer Sciences
119,http://orkg.org/orkg/resource/R178201,6,6,19,32,21,0,0,Semantic Web
120,http://orkg.org/orkg/resource/R178450,3,3,24,11,12,0,0,Security and Dependability
121,http://orkg.org/orkg/resource/R178479,2,2,9,4,6,0,0,Animal Sciences
122,http://orkg.org/orkg/resource/R186111,11,11,19,101,7,0,0,Software Engineering
123,http://orkg.org/orkg/resource/R193278,18,18,21,90,7,0,0,Networking and Internet Architecture
124,http://orkg.org/orkg/resource/R193463,7,7,12,42,8,0,0,Electrical Engineering and Information Technology
125,http://orkg.org/orkg/resource/R201854,9,9,27,115,16,0,0,Computer and Systems Architecture
126,http://orkg.org/orkg/resource/R204080,17,17,38,34,5,0,0,Machine Learning
127,http://orkg.org/orkg/resource/R204130,14,14,19,84,8,0,0,Cryptography and Security
128,http://orkg.org/orkg/resource/R204209,11,11,24,33,7,0,0,Cryptography and Security
129,http://orkg.org/orkg/resource/R209243,8,8,107,26,27,0,0,Computer Engineering
130,http://orkg.org/orkg/resource/R209290,14,14,51,77,16,0,0,Computer and Systems Architecture
131,http://orkg.org/orkg/resource/R209443,7,7,20,48,8,0,0,Computer and Systems Architecture
132,http://orkg.org/orkg/resource/R209929,12,12,40,73,11,0,0,Computer and Systems Architecture
133,http://orkg.org/orkg/resource/R210137,21,21,79,16,7,0,0,Security and Dependability
134,http://orkg.org/orkg/resource/R210410,15,15,56,11,7,0,0,Security and Dependability
135,http://orkg.org/orkg/resource/R210531,10,10,18,33,7,0,0,Security and Dependability
136,http://orkg.org/orkg/resource/R211015,8,8,107,26,27,0,0,Computer Engineering
137,http://orkg.org/orkg/resource/R211094,2,2,46,49,23,0,0,Natural Language Processing
138,http://orkg.org/orkg/resource/R211233,2,3,54,44,17,0,0,Natural Language Processing
139,http://orkg.org/orkg/resource/R211260,2,2,37,30,16,0,0,Natural Language Processing
140,http://orkg.org/orkg/resource/R211514,2,2,64,63,18,0,0,Computational Linguistics
141,http://orkg.org/orkg/resource/R211515,2,2,64,63,18,0,0,Computational Linguistics
142,http://orkg.org/orkg/resource/R211826,8,8,107,26,27,0,0,Computer Engineering
143,http://orkg.org/orkg/resource/R211921,5,5,412,81,28,0,0,Natural Language Processing
144,http://orkg.org/orkg/resource/R211935,23,23,266,350,78,0,0,Software Engineering
145,http://orkg.org/orkg/resource/R212405,13,13,33,83,7,0,0,"Operations Research, Systems Engineering and Industrial Engineering"
146,http://orkg.org/orkg/resource/R212408,6,6,25,85,20,0,0,Environmental Sciences
147,http://orkg.org/orkg/resource/R212457,4,10,159,256,48,0,0,"Urbanism, Spatial Planning, Transportation and Infrastructure Planning, Landscape Planning"
148,http://orkg.org/orkg/resource/R212463,15,15,43,72,13,0,0,"Operations Research, Systems Engineering and Industrial Engineering"
149,http://orkg.org/orkg/resource/R212576,16,16,35,83,12,0,0,"Operations Research, Systems Engineering and Industrial Engineering"
150,http://orkg.org/orkg/resource/R212902,15,15,91,132,20,0,0,Computer Engineering
151,http://orkg.org/orkg/resource/R214162,11,107,358,550,75,0,0,Databases/Information Systems
152,http://orkg.org/orkg/resource/R214164,15,15,91,132,20,0,0,Computer Engineering
153,http://orkg.org/orkg/resource/R214230,12,135,434,648,83,0,0,Information Science
154,http://orkg.org/orkg/resource/R214266,10,11,139,166,29,0,0,Natural Language Processing
155,http://orkg.org/orkg/resource/R215005,6,6,97,89,16,0,0,Natural Language Processing
156,http://orkg.org/orkg/resource/R215211,7,8,91,94,25,0,0,Natural Language Processing
157,http://orkg.org/orkg/resource/R215443,6,6,144,30,26,0,0,Urban Studies
158,http://orkg.org/orkg/resource/R215567,8,9,156,140,25,0,0,Natural Language Processing
159,http://orkg.org/orkg/resource/R215669,4,4,76,94,21,0,0,Natural Language Processing
160,http://orkg.org/orkg/resource/R215685,3,7,70,87,21,0,0,Natural Language Processing
161,http://orkg.org/orkg/resource/R215882,10,10,231,230,36,0,0,Environmental Sciences
162,http://orkg.org/orkg/resource/R216269,4,4,51,31,25,0,0,Computer Engineering
163,http://orkg.org/orkg/resource/R216423,1,32,72,64,4,0,0,Natural Language Processing
164,http://orkg.org/orkg/resource/R217120,4,23,23,315,39,0,0,Empirical Social Research
165,http://orkg.org/orkg/resource/R217123,4,23,23,315,39,0,0,Empirical Social Research
166,http://orkg.org/orkg/resource/R217389,1,22,430,295,74,0,0,Semantic Web
167,http://orkg.org/orkg/resource/R217424,10,10,231,230,36,0,0,Environmental Sciences
168,http://orkg.org/orkg/resource/R217425,10,10,231,230,36,0,0,Environmental Sciences
169,http://orkg.org/orkg/resource/R217545,10,10,96,73,17,0,0,Computer Engineering
170,http://orkg.org/orkg/resource/R217592,4,4,51,31,25,0,0,Computer Engineering
171,http://orkg.org/orkg/resource/R218943,12,12,35,5,7,0,0,Security and Dependability
172,http://orkg.org/orkg/resource/R218989,7,7,41,12,9,0,0,Security and Dependability
173,http://orkg.org/orkg/resource/R219046,7,7,50,8,7,0,0,Security and Dependability
174,http://orkg.org/orkg/resource/R36099,6,6,22,59,12,0,0,Computer Sciences
175,http://orkg.org/orkg/resource/R38484,18,18,354,525,84,0,0,Environmental Sciences
176,http://orkg.org/orkg/resource/R44930,21,31,138,196,16,2,2,Virology
177,http://orkg.org/orkg/resource/R68121,1,26,77,199,7,0,0,Earth Sciences
178,http://orkg.org/orkg/resource/R68535,2,32,95,246,7,1,2,Earth Sciences
179,http://orkg.org/orkg/resource/R69680,53,53,99,220,13,0,0,Artificial Intelligence
180,http://orkg.org/orkg/resource/R70212,1,7,23,75,20,0,0,Computer and Systems Architecture
181,http://orkg.org/orkg/resource/R73210,4,4,26,26,18,0,0,Information Science
182,http://orkg.org/orkg/resource/R74529,3,3,6,18,7,0,0,Software Engineering
183,http://orkg.org/orkg/resource/R74541,4,4,15,7,10,0,0,Artificial Intelligence
184,http://orkg.org/orkg/resource/R74774,1,7,82,185,38,0,0,Artificial Intelligence
185,http://orkg.org/orkg/resource/R75093,2,2,5,7,5,0,0,Computational Engineering
186,http://orkg.org/orkg/resource/R75140,3,3,22,1,6,0,0,Thermodynamics
187,http://orkg.org/orkg/resource/R75439,4,4,7,0,2,0,0,Software Engineering
188,http://orkg.org/orkg/resource/R75673,6,6,38,3,8,0,0,Neuroscience and Neurobiology
189,http://orkg.org/orkg/resource/R75729,6,6,37,2,8,0,0,Neuroscience and Neurobiology
190,http://orkg.org/orkg/resource/R76052,1,4,18,12,8,0,0,Artificial Intelligence
191,http://orkg.org/orkg/resource/R76054,1,4,18,12,7,0,0,Artificial Intelligence
192,http://orkg.org/orkg/resource/R76129,1,9,35,9,5,0,0,Artificial Intelligence
193,http://orkg.org/orkg/resource/R76284,1,12,36,11,7,0,0,Artificial Intelligence
194,http://orkg.org/orkg/resource/R76297,5,5,11,19,5,0,0,Environmental Health
195,http://orkg.org/orkg/resource/R76324,1,12,37,12,6,0,0,Artificial Intelligence
196,http://orkg.org/orkg/resource/R76783,12,12,27,44,5,0,0,"Theory, Knowledge and Science"
197,http://orkg.org/orkg/resource/R76785,12,12,27,44,5,0,0,"Theory, Knowledge and Science"
198,http://orkg.org/orkg/resource/R76906,8,8,85,6,9,0,0,Social and Behavioral Sciences
199,http://orkg.org/orkg/resource/R78163,14,14,18,84,8,0,0,Life Sciences
200,http://orkg.org/orkg/resource/R78454,3,3,7,19,7,0,0,Growth and Development
201,http://orkg.org/orkg/resource/R8342,8,12,81,98,29,0,0,
202,http://orkg.org/orkg/resource/R8364,5,5,61,84,39,0,0,
