,comparison,number_of_papers,number_of_contributions,number_of_resources,number_of_literals,number_of_predicates,number_of_related_resources,number_of_related_figures,research_field
30,http://orkg.org/orkg/resource/R138393,6,6,12,211,29,0,0,Planetary Sciences
31,http://orkg.org/orkg/resource/R138418,6,6,10,93,22,0,0,Oceanography
32,http://orkg.org/orkg/resource/R138483,6,6,9,92,19,0,0,Oceanography
33,http://orkg.org/orkg/resource/R138501,8,8,13,128,22,0,0,Oceanography
34,http://orkg.org/orkg/resource/R138542,6,6,12,271,50,0,0,Planetary Sciences
35,http://orkg.org/orkg/resource/R138633,9,9,55,120,26,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
36,http://orkg.org/orkg/resource/R139050,55,55,158,183,9,0,0,Bioinformatics
37,http://orkg.org/orkg/resource/R139190,26,26,27,483,30,0,0,Plasma and Beam Physics
38,http://orkg.org/orkg/resource/R139191,4,4,39,42,18,0,0,Medicinal Chemistry and Pharmaceutics
39,http://orkg.org/orkg/resource/R139551,10,10,68,133,26,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
40,http://orkg.org/orkg/resource/R139567,12,12,85,13,20,0,0,Artificial Intelligence
41,http://orkg.org/orkg/resource/R139568,7,7,10,35,7,0,0,Urban Studies
42,http://orkg.org/orkg/resource/R139845,7,7,59,166,43,0,0,Planetary Sciences
43,http://orkg.org/orkg/resource/R140131,9,10,104,5,32,0,0,"Information Systems, Process and Knowledge Management"
44,http://orkg.org/orkg/resource/R140347,19,19,87,250,26,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
45,http://orkg.org/orkg/resource/R140449,5,5,39,64,22,0,0,Medicinal Chemistry and Pharmaceutics
46,http://orkg.org/orkg/resource/R140463,8,8,48,106,26,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
47,http://orkg.org/orkg/resource/R140465,10,10,65,133,26,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
48,http://orkg.org/orkg/resource/R140714,5,5,38,56,23,0,0,Medicinal Chemistry and Pharmaceutics
49,http://orkg.org/orkg/resource/R140726,6,6,68,145,42,0,0,Earth Sciences
50,http://orkg.org/orkg/resource/R140805,6,6,67,163,39,0,0,Earth Sciences
51,http://orkg.org/orkg/resource/R141123,6,6,52,143,43,0,0,Earth Sciences
52,http://orkg.org/orkg/resource/R141317,6,6,44,64,21,0,0,Medicinal Chemistry and Pharmaceutics
53,http://orkg.org/orkg/resource/R141336,5,5,14,81,44,0,0,Oceanography
54,http://orkg.org/orkg/resource/R141349,5,5,14,86,40,0,0,Oceanography
55,http://orkg.org/orkg/resource/R141369,5,5,9,73,26,0,0,Oceanography
56,http://orkg.org/orkg/resource/R141385,5,5,9,79,27,0,0,Oceanography
57,http://orkg.org/orkg/resource/R141810,7,7,37,92,26,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
58,http://orkg.org/orkg/resource/R141811,8,8,41,106,26,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
59,http://orkg.org/orkg/resource/R142850,11,11,39,49,10,0,0,Medicinal Chemistry and Pharmaceutics
60,http://orkg.org/orkg/resource/R143746,6,6,185,315,15,0,0,Earth Sciences
61,http://orkg.org/orkg/resource/R143853,7,7,8,80,9,0,0,Nanoscience and Nanotechnology
62,http://orkg.org/orkg/resource/R143856,6,6,126,210,19,0,0,Earth Sciences
63,http://orkg.org/orkg/resource/R144148,6,6,65,154,35,0,0,Earth Sciences
64,http://orkg.org/orkg/resource/R144251,6,6,83,152,11,0,0,Earth Sciences
65,http://orkg.org/orkg/resource/R144512,7,10,64,35,14,0,0,Medicinal Chemistry and Pharmaceutics
66,http://orkg.org/orkg/resource/R145951,14,15,49,48,23,0,0,Urban Studies and Planning
67,http://orkg.org/orkg/resource/R146851,20,32,529,612,32,0,0,Information Science
68,http://orkg.org/orkg/resource/R147040,23,23,92,303,26,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
69,http://orkg.org/orkg/resource/R147152,5,5,6,86,24,0,0,Oceanography
70,http://orkg.org/orkg/resource/R147167,5,5,6,79,24,0,0,Oceanography
71,http://orkg.org/orkg/resource/R147183,5,5,6,89,35,0,0,Oceanography
72,http://orkg.org/orkg/resource/R147196,6,6,7,87,24,0,0,Oceanography
73,http://orkg.org/orkg/resource/R147317,6,6,61,175,29,0,0,Planetary Sciences
74,http://orkg.org/orkg/resource/R147365,6,6,63,139,28,0,0,Planetary Sciences
75,http://orkg.org/orkg/resource/R147449,6,6,90,212,23,0,0,Earth Sciences
76,http://orkg.org/orkg/resource/R147507,6,6,69,138,18,0,0,Earth Sciences
77,http://orkg.org/orkg/resource/R148381,9,11,78,32,14,0,0,Medicinal Chemistry and Pharmaceutics
78,http://orkg.org/orkg/resource/R148382,8,9,66,24,14,0,0,Medicinal Chemistry and Pharmaceutics
79,http://orkg.org/orkg/resource/R149849,10,10,64,133,26,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
80,http://orkg.org/orkg/resource/R150337,14,14,338,348,102,0,0,Energy Systems
81,http://orkg.org/orkg/resource/R151005,2,14,125,139,38,0,0,Semantic Web
82,http://orkg.org/orkg/resource/R152727,6,6,46,0,6,0,0,Urban Studies and Planning
83,http://orkg.org/orkg/resource/R153801,20,25,781,565,12,0,0,Energy Systems
84,http://orkg.org/orkg/resource/R155154,6,6,56,221,38,0,0,Earth Sciences
85,http://orkg.org/orkg/resource/R155191,6,6,53,183,31,0,0,Earth Sciences
86,http://orkg.org/orkg/resource/R155248,6,6,53,240,37,0,0,Planetary Sciences
87,http://orkg.org/orkg/resource/R155445,6,6,46,183,30,0,0,Planetary Sciences
88,http://orkg.org/orkg/resource/R155526,6,6,7,80,19,0,0,Oceanography
89,http://orkg.org/orkg/resource/R155543,6,6,7,98,24,0,0,Oceanography
90,http://orkg.org/orkg/resource/R155561,5,5,6,93,26,0,0,Oceanography
91,http://orkg.org/orkg/resource/R155584,6,6,7,117,36,0,0,Oceanography
92,http://orkg.org/orkg/resource/R155800,21,21,158,381,27,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
93,http://orkg.org/orkg/resource/R157074,20,20,147,342,27,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
94,http://orkg.org/orkg/resource/R157076,9,9,65,148,27,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
95,http://orkg.org/orkg/resource/R160149,5,5,6,83,23,0,0,Oceanography
96,http://orkg.org/orkg/resource/R160168,5,5,6,66,14,0,0,Oceanography
97,http://orkg.org/orkg/resource/R160174,5,5,6,83,23,0,0,Oceanography
98,http://orkg.org/orkg/resource/R160189,5,5,6,80,24,0,0,Oceanography
99,http://orkg.org/orkg/resource/R160205,5,5,6,83,27,0,0,Oceanography
100,http://orkg.org/orkg/resource/R160527,6,6,59,126,20,0,0,Planetary Sciences
101,http://orkg.org/orkg/resource/R160596,6,6,60,131,18,0,0,Earth Sciences
102,http://orkg.org/orkg/resource/R160597,6,6,60,131,18,0,0,Earth Sciences
103,http://orkg.org/orkg/resource/R160742,11,11,12,116,20,0,0,Oceanography
104,http://orkg.org/orkg/resource/R160768,7,7,8,109,25,0,0,Oceanography
105,http://orkg.org/orkg/resource/R161079,7,7,99,133,19,0,0,Medicinal Chemistry and Pharmaceutics
106,http://orkg.org/orkg/resource/R161787,6,6,24,55,24,0,0,Natural Language Processing
107,http://orkg.org/orkg/resource/R164670,19,21,431,262,46,0,0,Bioinformatics
108,http://orkg.org/orkg/resource/R165700,19,21,436,276,46,0,0,Bioinformatics
109,http://orkg.org/orkg/resource/R165702,8,29,130,253,30,0,0,Natural Language Processing
110,http://orkg.org/orkg/resource/R165794,9,9,20,15,10,0,0,"Information Systems, Process and Knowledge Management"
111,http://orkg.org/orkg/resource/R165866,10,18,328,200,26,0,0,Natural Language Processing
112,http://orkg.org/orkg/resource/R166315,4,4,82,77,27,0,0,Natural Language Processing
113,http://orkg.org/orkg/resource/R172690,4,4,17,26,14,0,0,Natural Language Processing
114,http://orkg.org/orkg/resource/R172704,4,4,31,55,41,0,0,Natural Language Processing
115,http://orkg.org/orkg/resource/R172826,8,8,16,29,5,0,0,Semantic Web
116,http://orkg.org/orkg/resource/R172932,5,5,63,9,11,0,0,Semantic Web
117,http://orkg.org/orkg/resource/R175108,5,5,16,56,14,0,0,Digital Communications and Networking
118,http://orkg.org/orkg/resource/R175304,6,6,68,12,17,0,0,Semantic Web
119,http://orkg.org/orkg/resource/R176017,4,4,7,20,6,0,0,Computer Sciences
120,http://orkg.org/orkg/resource/R176038,9,9,9,113,10,0,0,Computer and Systems Architecture
121,http://orkg.org/orkg/resource/R178164,4,4,7,20,6,0,0,Computer Sciences
122,http://orkg.org/orkg/resource/R178188,4,4,12,20,7,0,0,Computer Sciences
123,http://orkg.org/orkg/resource/R178201,6,6,19,32,21,0,0,Semantic Web
124,http://orkg.org/orkg/resource/R178450,3,3,24,11,12,0,0,Security and Dependability
125,http://orkg.org/orkg/resource/R178479,2,2,9,4,6,0,0,Animal Sciences
126,http://orkg.org/orkg/resource/R187049,5,10,809,166,32,1,8,Mechanical Process Engineering
127,http://orkg.org/orkg/resource/R193278,18,18,21,90,7,0,0,Networking and Internet Architecture
128,http://orkg.org/orkg/resource/R193463,7,7,12,42,8,0,0,Electrical Engineering and Information Technology
129,http://orkg.org/orkg/resource/R201854,9,9,41,120,24,0,0,Computer and Systems Architecture
130,http://orkg.org/orkg/resource/R204080,17,17,38,34,5,0,0,Machine Learning
131,http://orkg.org/orkg/resource/R204130,14,14,19,84,8,0,0,Cryptography and Security
132,http://orkg.org/orkg/resource/R204209,11,11,24,33,7,0,0,Cryptography and Security
133,http://orkg.org/orkg/resource/R209243,8,8,107,26,27,0,0,Computer Engineering
134,http://orkg.org/orkg/resource/R209290,14,14,54,83,19,0,0,Computer and Systems Architecture
135,http://orkg.org/orkg/resource/R209443,7,7,20,48,8,0,0,Computer and Systems Architecture
136,http://orkg.org/orkg/resource/R209929,12,12,40,73,11,0,0,Computer and Systems Architecture
137,http://orkg.org/orkg/resource/R210137,21,21,81,20,12,0,0,Security and Dependability
138,http://orkg.org/orkg/resource/R210410,15,15,56,11,7,0,0,Security and Dependability
139,http://orkg.org/orkg/resource/R210531,10,10,18,33,7,0,0,Security and Dependability
140,http://orkg.org/orkg/resource/R211015,8,8,107,26,27,0,0,Computer Engineering
141,http://orkg.org/orkg/resource/R211094,2,2,46,49,23,0,0,Natural Language Processing
142,http://orkg.org/orkg/resource/R211233,2,3,54,44,17,0,0,Natural Language Processing
143,http://orkg.org/orkg/resource/R211260,2,2,37,30,16,0,0,Natural Language Processing
144,http://orkg.org/orkg/resource/R211514,2,2,64,63,18,0,0,Computational Linguistics
145,http://orkg.org/orkg/resource/R211515,2,2,64,63,18,0,0,Computational Linguistics
146,http://orkg.org/orkg/resource/R211826,8,8,107,26,27,0,0,Computer Engineering
147,http://orkg.org/orkg/resource/R211921,5,5,412,81,28,0,0,Natural Language Processing
148,http://orkg.org/orkg/resource/R211935,23,23,329,353,74,0,0,Software Engineering
149,http://orkg.org/orkg/resource/R212405,13,13,33,83,7,0,0,"Operations Research, Systems Engineering and Industrial Engineering"
150,http://orkg.org/orkg/resource/R212408,6,6,54,81,27,0,0,Environmental Sciences
151,http://orkg.org/orkg/resource/R212457,4,10,159,256,48,0,0,"Urbanism, Spatial Planning, Transportation and Infrastructure Planning, Landscape Planning"
152,http://orkg.org/orkg/resource/R212463,15,15,43,72,13,0,0,"Operations Research, Systems Engineering and Industrial Engineering"
153,http://orkg.org/orkg/resource/R212576,16,16,45,83,15,0,0,"Operations Research, Systems Engineering and Industrial Engineering"
154,http://orkg.org/orkg/resource/R212902,15,15,91,132,20,0,0,Computer Engineering
155,http://orkg.org/orkg/resource/R214162,11,107,358,550,75,0,0,Databases/Information Systems
156,http://orkg.org/orkg/resource/R214164,15,15,91,132,20,0,0,Computer Engineering
157,http://orkg.org/orkg/resource/R214230,12,135,434,648,83,0,0,Information Science
158,http://orkg.org/orkg/resource/R214266,10,11,139,166,29,0,0,Natural Language Processing
159,http://orkg.org/orkg/resource/R215005,6,6,97,89,16,0,0,Natural Language Processing
160,http://orkg.org/orkg/resource/R215211,7,8,91,94,25,0,0,Natural Language Processing
161,http://orkg.org/orkg/resource/R215443,6,6,144,30,26,0,0,Urban Studies
162,http://orkg.org/orkg/resource/R215567,8,9,156,140,25,0,0,Natural Language Processing
163,http://orkg.org/orkg/resource/R215669,4,4,76,94,21,0,0,Natural Language Processing
164,http://orkg.org/orkg/resource/R215685,3,7,70,87,21,0,0,Natural Language Processing
165,http://orkg.org/orkg/resource/R215882,10,10,246,242,43,0,0,Environmental Sciences
166,http://orkg.org/orkg/resource/R216269,4,4,51,29,23,0,0,Computer Engineering
167,http://orkg.org/orkg/resource/R216423,1,32,72,64,4,0,0,Natural Language Processing
168,http://orkg.org/orkg/resource/R217120,4,23,23,315,39,0,0,Empirical Social Research
169,http://orkg.org/orkg/resource/R217123,4,23,23,315,39,0,0,Empirical Social Research
170,http://orkg.org/orkg/resource/R217389,1,22,462,311,82,0,0,Semantic Web
171,http://orkg.org/orkg/resource/R217424,10,10,246,242,43,0,0,Environmental Sciences
172,http://orkg.org/orkg/resource/R217425,10,10,246,242,43,0,0,Environmental Sciences
173,http://orkg.org/orkg/resource/R217545,10,10,96,73,17,0,0,Computer Engineering
174,http://orkg.org/orkg/resource/R217592,4,4,51,29,23,0,0,Computer Engineering
175,http://orkg.org/orkg/resource/R218943,12,12,35,5,7,0,0,Security and Dependability
176,http://orkg.org/orkg/resource/R218989,7,7,41,12,9,0,0,Security and Dependability
177,http://orkg.org/orkg/resource/R219046,7,7,50,8,7,0,0,Security and Dependability
178,http://orkg.org/orkg/resource/R219085,8,8,41,9,8,0,0,Security and Dependability
179,http://orkg.org/orkg/resource/R219275,5,5,5,19,4,0,0,Behavioral Economics
180,http://orkg.org/orkg/resource/R219286,14,14,272,111,36,0,0,
181,http://orkg.org/orkg/resource/R219410,5,5,81,69,24,0,0,
182,http://orkg.org/orkg/resource/R219443,8,8,33,26,12,0,0,
183,http://orkg.org/orkg/resource/R219581,20,20,70,120,13,0,0,
184,http://orkg.org/orkg/resource/R219718,16,16,98,62,9,0,0,
185,http://orkg.org/orkg/resource/R220094,21,21,30,23,5,0,0,
186,http://orkg.org/orkg/resource/R220231,12,12,79,39,28,0,0,
187,http://orkg.org/orkg/resource/R220872,2,2,64,63,18,0,0,Natural Language Processing
188,http://orkg.org/orkg/resource/R220885,10,11,139,166,29,0,0,Natural Language Processing
189,http://orkg.org/orkg/resource/R220919,10,11,184,159,25,0,0,Natural Language Processing
190,http://orkg.org/orkg/resource/R220920,8,9,156,140,25,0,0,Natural Language Processing
191,http://orkg.org/orkg/resource/R221160,1,44,311,267,14,0,0,Climate
192,http://orkg.org/orkg/resource/R221192,1,44,311,267,14,0,0,Climate
193,http://orkg.org/orkg/resource/R221200,1,88,620,531,14,0,0,Climate
194,http://orkg.org/orkg/resource/R221688,10,10,55,39,26,0,0,
195,http://orkg.org/orkg/resource/R221781,10,13,238,147,14,0,0,"Atomic, Molecular and Optical Physics"
196,http://orkg.org/orkg/resource/R221782,10,10,24,45,8,0,0,
197,http://orkg.org/orkg/resource/R222041,12,12,217,113,11,0,0,Applied Physics
198,http://orkg.org/orkg/resource/R222990,15,15,172,32,18,0,0,
199,http://orkg.org/orkg/resource/R223002,10,10,65,107,21,0,0,
200,http://orkg.org/orkg/resource/R224809,13,13,231,127,44,0,0,
201,http://orkg.org/orkg/resource/R224810,13,13,231,127,44,0,0,
202,http://orkg.org/orkg/resource/R225220,6,6,75,15,13,0,0,
203,http://orkg.org/orkg/resource/R225253,9,9,18,39,9,0,0,Security and Dependability
204,http://orkg.org/orkg/resource/R225329,25,25,25,125,5,0,0,Security and Dependability
205,http://orkg.org/orkg/resource/R226630,6,6,58,64,22,0,0,
206,http://orkg.org/orkg/resource/R226772,5,5,161,75,38,0,0,
207,http://orkg.org/orkg/resource/R228158,8,8,13,48,9,0,0,Security and Dependability
208,http://orkg.org/orkg/resource/R228696,10,10,19,53,11,0,0,
209,http://orkg.org/orkg/resource/R230415,10,10,30,65,17,0,0,
210,http://orkg.org/orkg/resource/R234068,12,12,33,33,8,0,0,
211,http://orkg.org/orkg/resource/R235512,14,14,39,66,12,0,0,
212,http://orkg.org/orkg/resource/R235550,5,5,22,62,18,0,0,
213,http://orkg.org/orkg/resource/R236296,11,11,205,276,48,0,0,
214,http://orkg.org/orkg/resource/R239314,2,7,32,7,10,0,0,
215,http://orkg.org/orkg/resource/R246267,5,5,49,14,10,0,0,"Theory, Knowledge and Science"
216,http://orkg.org/orkg/resource/R248411,5,5,49,14,10,0,0,Computer Engineering
217,http://orkg.org/orkg/resource/R249037,14,15,303,202,12,0,0,
218,http://orkg.org/orkg/resource/R250455,10,10,92,8,14,0,0,Computer Engineering
219,http://orkg.org/orkg/resource/R255464,14,14,166,70,18,0,0,Software Engineering
220,http://orkg.org/orkg/resource/R260009,6,6,66,18,12,0,0,
221,http://orkg.org/orkg/resource/R260193,6,6,61,12,9,0,0,Computer Engineering
222,http://orkg.org/orkg/resource/R260330,10,10,10,160,16,0,0,Security and Dependability
223,http://orkg.org/orkg/resource/R261028,14,14,14,168,12,0,0,"Communications, High-Frequency and Network Technology, Theoretical Electrical Engineering"
224,http://orkg.org/orkg/resource/R266339,6,6,27,18,11,0,0,
225,http://orkg.org/orkg/resource/R266423,12,12,33,52,13,0,0,
226,http://orkg.org/orkg/resource/R274032,8,8,129,95,12,0,0,
227,http://orkg.org/orkg/resource/R275000,14,14,227,132,12,0,0,
228,http://orkg.org/orkg/resource/R280729,16,25,139,145,18,0,0,
229,http://orkg.org/orkg/resource/R281265,7,7,72,101,27,0,0,Machine Learning
230,http://orkg.org/orkg/resource/R282510,7,7,119,97,12,0,0,
231,http://orkg.org/orkg/resource/R282511,14,14,196,142,13,0,0,
232,http://orkg.org/orkg/resource/R282512,15,15,202,145,13,0,0,
233,http://orkg.org/orkg/resource/R284515,11,11,197,234,44,0,0,
234,http://orkg.org/orkg/resource/R285347,8,8,94,64,13,0,0,Software Engineering
235,http://orkg.org/orkg/resource/R287928,3,3,60,32,20,0,0,
236,http://orkg.org/orkg/resource/R287929,3,3,60,32,20,0,0,
237,http://orkg.org/orkg/resource/R288015,1,5,9,48,13,0,0,Semantic Web
238,http://orkg.org/orkg/resource/R288016,1,4,11,16,5,0,0,
239,http://orkg.org/orkg/resource/R288017,1,4,11,16,5,0,0,Semantic Web
240,http://orkg.org/orkg/resource/R288018,4,4,164,25,40,0,0,Semantic Web
241,http://orkg.org/orkg/resource/R288019,4,4,164,25,40,0,0,Semantic Web
242,http://orkg.org/orkg/resource/R288020,4,4,164,25,40,0,0,Semantic Web
243,http://orkg.org/orkg/resource/R288021,4,4,164,25,40,0,0,Semantic Web
244,http://orkg.org/orkg/resource/R288022,1,5,8,15,5,0,0,Semantic Web
245,http://orkg.org/orkg/resource/R288023,1,5,9,48,13,0,0,Semantic Web
246,http://orkg.org/orkg/resource/R288024,1,3,16,0,4,0,0,Semantic Web
247,http://orkg.org/orkg/resource/R288025,1,3,13,10,7,0,0,Semantic Web
248,http://orkg.org/orkg/resource/R288027,1,8,18,47,9,0,0,Semantic Web
249,http://orkg.org/orkg/resource/R288028,1,2,47,5,26,0,0,Semantic Web
250,http://orkg.org/orkg/resource/R288029,1,2,48,16,27,0,0,Semantic Web
251,http://orkg.org/orkg/resource/R288044,1,2,48,16,27,0,0,Semantic Web
252,http://orkg.org/orkg/resource/R288045,2,4,70,21,30,0,0,Semantic Web
253,http://orkg.org/orkg/resource/R288046,1,10,19,65,14,0,0,Semantic Web
254,http://orkg.org/orkg/resource/R288047,1,10,19,65,14,0,0,Semantic Web
255,http://orkg.org/orkg/resource/R288049,1,14,25,77,13,0,0,Semantic Web
256,http://orkg.org/orkg/resource/R288078,5,5,153,33,46,0,0,Semantic Web
257,http://orkg.org/orkg/resource/R36099,6,6,22,59,12,0,0,Computer Sciences
258,http://orkg.org/orkg/resource/R38484,18,18,354,525,84,0,0,Environmental Sciences
259,http://orkg.org/orkg/resource/R385010,60,60,219,530,24,0,0,
260,http://orkg.org/orkg/resource/R44930,21,31,138,196,16,2,2,Virology
261,http://orkg.org/orkg/resource/R576864,1,8,39,12,13,0,0,Artificial Intelligence
262,http://orkg.org/orkg/resource/R576870,2,2,29,0,12,0,0,Artificial Intelligence
263,http://orkg.org/orkg/resource/R576872,2,2,76,3,28,0,0,Artificial Intelligence
264,http://orkg.org/orkg/resource/R576873,2,4,39,17,23,0,0,Artificial Intelligence
265,http://orkg.org/orkg/resource/R576874,2,4,22,1,8,0,0,Artificial Intelligence
266,http://orkg.org/orkg/resource/R576875,1,3,17,10,11,0,0,Artificial Intelligence
267,http://orkg.org/orkg/resource/R576876,1,15,80,63,12,0,0,Artificial Intelligence
268,http://orkg.org/orkg/resource/R579011,1,3,78,56,33,0,0,"Urbanism, Spatial Planning, Transportation and Infrastructure Planning, Landscape Planning"
269,http://orkg.org/orkg/resource/R579012,6,6,58,64,22,0,0,"Urbanism, Spatial Planning, Transportation and Infrastructure Planning, Landscape Planning"
270,http://orkg.org/orkg/resource/R583403,2,2,13,9,4,0,0,Entomology Food Science
271,http://orkg.org/orkg/resource/R583438,4,4,9,1,6,0,0,Agricultural and Resource Economics
272,http://orkg.org/orkg/resource/R583565,6,6,49,26,9,0,0,
273,http://orkg.org/orkg/resource/R583809,3,3,8,3,5,0,0,
274,http://orkg.org/orkg/resource/R584521,4,4,4,16,4,0,0,Microbiology
275,http://orkg.org/orkg/resource/R584837,6,6,104,166,30,0,0,Earth Sciences
276,http://orkg.org/orkg/resource/R585596,2,2,10,5,8,0,0,"Theory, Knowledge and Science"
277,http://orkg.org/orkg/resource/R585632,3,3,4,17,7,0,0,Energy Systems
278,http://orkg.org/orkg/resource/R585679,4,4,5,86,19,0,0,
279,http://orkg.org/orkg/resource/R585697,4,4,25,21,18,0,0,
280,http://orkg.org/orkg/resource/R585821,3,3,14,40,11,0,0,Microbial Physiology
281,http://orkg.org/orkg/resource/R585902,3,3,25,9,9,0,0,Epidemiology
282,http://orkg.org/orkg/resource/R585918,59,59,215,522,24,0,0,Artificial Intelligence
283,http://orkg.org/orkg/resource/R586314,2,2,13,2,4,0,0,"Information Systems, Process and Knowledge Management"
284,http://orkg.org/orkg/resource/R586326,3,3,36,0,6,0,0,
285,http://orkg.org/orkg/resource/R586327,18,18,88,81,11,0,0,Semantic Web
286,http://orkg.org/orkg/resource/R586328,18,18,88,81,11,0,0,Semantic Web
287,http://orkg.org/orkg/resource/R589181,17,17,47,59,21,0,0,Life Sciences
288,http://orkg.org/orkg/resource/R589371,8,8,94,64,13,0,0,Software Engineering
289,http://orkg.org/orkg/resource/R589387,6,6,23,23,4,0,0,"Information Systems, Process and Knowledge Management"
290,http://orkg.org/orkg/resource/R589409,64,100,152,330,18,0,0,Computational Neuroscience
291,http://orkg.org/orkg/resource/R589436,64,100,152,330,18,0,0,Computational Neuroscience
292,http://orkg.org/orkg/resource/R589474,61,101,146,366,15,0,0,Computational Neuroscience
293,http://orkg.org/orkg/resource/R589496,58,101,139,389,15,0,0,Computational Neuroscience
294,http://orkg.org/orkg/resource/R589505,48,101,136,379,15,0,0,Computational Neuroscience
295,http://orkg.org/orkg/resource/R589510,55,101,138,388,15,0,0,Computational Neuroscience
296,http://orkg.org/orkg/resource/R589518,31,96,126,318,14,0,0,Computational Neuroscience
297,http://orkg.org/orkg/resource/R589614,4,4,34,17,12,0,0,Digital Libraries
298,http://orkg.org/orkg/resource/R589671,7,51,356,138,99,0,0,"Information Systems, Process and Knowledge Management"
299,http://orkg.org/orkg/resource/R595153,72,73,271,646,26,0,0,Artificial Intelligence
300,http://orkg.org/orkg/resource/R595154,72,73,271,646,26,0,0,Artificial Intelligence
301,http://orkg.org/orkg/resource/R597101,13,13,123,89,33,0,0,Invasion biology
302,http://orkg.org/orkg/resource/R597380,4,4,37,45,18,0,0,First/Second Language Acquisition
303,http://orkg.org/orkg/resource/R597838,5,5,24,4,6,0,0,Computer Sciences
304,http://orkg.org/orkg/resource/R597878,4,4,19,14,10,0,0,Databases/Information Systems
305,http://orkg.org/orkg/resource/R597897,6,6,42,17,11,0,0,Cryptography and Security
306,http://orkg.org/orkg/resource/R598090,5,5,24,4,6,0,0,Computer Sciences
307,http://orkg.org/orkg/resource/R598216,15,15,102,40,20,0,0,Engineering
308,http://orkg.org/orkg/resource/R598267,11,11,74,136,20,0,0,Applied Linguistics
309,http://orkg.org/orkg/resource/R598308,8,8,54,7,12,0,0,Artificial Intelligence
310,http://orkg.org/orkg/resource/R598411,8,8,36,48,9,0,0,Computer and Systems Architecture
311,http://orkg.org/orkg/resource/R598493,14,14,15,301,22,0,0,"Hydrogeology, Hydrology, Limnology, Urban Water Management, Water Chemistry, Integrated Water Resources Management"
