Nr.,Comment in English,Spam / Ham,Polarity,Feature Request,Problem Report,Safety,Efficiency
734,"Lol this guy is an idiot with too much money to waste. This is too expensive to build and too expensive to maintain and still you will have jams as everybody will be moving to the same area as they always do, you know for work. Huge jam to enter this thing and huge jam to exit. It solves nothing only moves the problem and it wastes lots money. Yes racing with 200 km to the next jam, lol. 1 hour jam to enter, 1 hour jam to leave for a distance of 30 to 100 km what a success lol.
What is proven to work is less cars on the road, more people on byclicles or scooters or walking for shorter distances. More people taking a proper working public transport for short distances and cars for the longer distances. Encourage work from home for professions where it is possible. Reward companies that let employees come to the office only on 2 out of 5 days, that is working towards solutions.
This is madness.",ham,negative,,x,,x
746,"Though this idea looks cool, using it for cars would be impractical. Cars take up so much space that you would need 
to dig as many tunnels than there are roads, which is impossible to fund. Even so, the money you would have to charge to not be at a loss would be to high as most of the time the cars are barely full. This could work if instead it was only passenger modules, making it like a metro. One of these would fit potentially dozens of people, while a car fits at max seven, usually one.",ham,neutral,x,x,,x
747,Then comes an earthquake and bye bye,ham,neutral,,,x,
749,imagine there is an earthquake,ham,neutral,,,x,
752,Becareful there car holes on road everywhere...,ham,neutral,,x,x,
755,Yeah but the ammount of pollution that would build up in these tunnels,ham,neutral,,x,x,
757,Why won't you just made a train then ?,ham,neutral,,,,
759,What if the machine breaks in the middle of the tunnel,ham,neutral,,,,
770,Make it for only Tesla’s for more money as well as sales and less carbon footprint,ham,neutral,x,,,x
773,There is a hole in the ground while your waiting for it to come back?,ham,neutral,,x,,
774,"But what if a bus needs to use the tunnel, or a limo?",ham,neutral,,,,
778,This is so stupid. Look how slow it is to put cars into it,ham,negative,,x,,x
783,I feel like a car is gonna fall down the hole that the elevator is in...,ham,neutral,,x,x,
791,Shouldn't you use magnetic levitation instead of rails,ham,neutral,x,x,,
792,But how is it being held down there from the ground collapsing,ham,neutral,,,x,
793,Seems like 1 dumb shit would drive right into the hole while you are being lowered down,ham,negative,,x,x,
794,Earth: *Earthquake*,ham,neutral,,,x,
796,"You see, I get the idea but it is dangerous for populated countries like India, once it gets on work, 
the place is gonna be dug up and then most of the country will be hollow from the indside",ham,neutral,,x,x,
797,"It's not solving any sustainability problems nor traffic problems, subways around the world transports millions of people underground everyday.
What good is this system?",ham,negative,,x,,x
804,why build under eart why not up on  earth ?,ham,neutral,,,,
805,So...what about trucks? Or the millions of tractor trailors?,ham,neutral,,,,
813,What happens if it floods?,ham,neutral,,x,x,
817,"Fuel efficient flying cars will be in market by the time this model will be implemented successfully. 
Waste of tax money. Someone in the office wanted to be regarded as innovative and made this stupid concept.",ham,negative,,x,,x
822,"A subway for cars ? That is just waste of energy .Instead they could have made a tunnel for pod taxis 
if you don't want to ride subways like it was shown in one of the compartments.",ham,neutral,x,,,x
826,Haha instead of doing this add more lane's on the road or make under ground tunnel,ham,neutral,x,,,
827,Automated cars or driving less cars are far better solution than this concept.,ham,neutral,x,,,
830,"Might want to put up a barrier to keep impatient drivers from falling nose first into the lift shaft. 
Also: how is this going to work at night?",ham,neutral,x,x,x,
841,"The problem with this is that the tunnels will create structural instability and 
the ground will collapse, thus creating sinkholes",ham,neutral,,x,x,
844,"So, I know you already have an idea and a plan for this but...... what stops an elderly woman driving
 into the hole (no ageism intended just trying to be funny)",ham,neutral,,x,x,
845,"Ok so I Like the idea... but it's not Logical. SO only Tesla's and Electric cars Are aloud to Ride this Menace. How on God's Green Earth Is that Supposed to Help Traffic. NOT everyone is Going to buy a TESLA And not Everyone is Is going to Buy an Electric Car. SURE it can Move Traffic A little More. But What Good Is It Going to do If Only Electric cars Can go on it. + I'm Sure You Know How People can be in this World, Humans Do stupid Things, Like They Would Get Into the car and then Jump Out and completly die. What Is The train Thing that You Drive your Car Onto  Malfunctions then What Happens. As Nice as This sounds, it's not Logical. 
Edit: I Know People might get Triggered From What I'm saying so if you Would Like To Correct me I won't be Offended",ham,negative,,x,,x
847,How about you make traffic less worse? This will cause even more traffic. Still a cool idea don’t get me wrong.,ham,neutral,,,,x
853,"They should make it so it’s only usable by tesla and other *electric car* users. Both to discourage gas cars, and keep the thing from causing congestion, 
because There would be REALLY LONG LINES if it was open to EvErY body.",ham,neutral,x,,,
856,"In this kind of world, terrorists don't exist. But hackers do. . .",ham,neutral,,,x,
858,"I like the fact that at some point somebody will die in a tunnel because he needed to pee 
so he got out of the car and the wind would blew him away",ham,neutral,,,x,
871,Lol what if there's an earthquake or something,ham,neutral,,,x,
873,"If there’s and earthquake, you fucked",ham,negative,,,x,
882,Why isn't everyone using the tunnels?,ham,neutral,,,,
891,Earthquake,ham,neutral,,,x,
901,Cool but how will u make profit or is this a free thing?,ham,neutral,,,,
903,Can any car use them,ham,neutral,,,,
908,Good luck with earthquakes,ham,neutral,,,x,
909,What if a car fell into that opened one while it taking another to the tunnel,ham,neutral,,x,x,
915,"I love this idea but imagine a accident or a earthquake while there is people on this or a fooding or
 stupid people that would get out of the car or a little kid that steps on the plataforma with the car this is awesome but pretty dangerous",ham,neutral,,x,x,
916,"Fixes a problem and creates another : that shit is going to have a queue no matter how many we implement,
 if anything we'd need to redesign roads , good initial idea but eh",ham,neutral,,,,x
921,What's stopping me from accidentally falling in when that thing isn't there?,ham,neutral,,,x,
926,Why not do above ground?,ham,neutral,x,,,
932,"Then why you drive damn car?
just make hovering bus then.
let the other companies make real car.
don't screw it.",ham,negative,,,,
935,What they r going to do when earthquake will come?,ham,neutral,,,x,
939,This sucks. No world view ? I enjoy looking at the outside world when I am driving.,ham,neutral,,x,,
942,It's a good invention but it should be an Electric Shuttle Train of 2 or 3 Cars with Specific destinations like the Hyperloop.,ham,neutral,x,,,
944,"I suggest that a barrier be temporarily lifted before the car starts to descend the elevator 
to prevent pedestrians or cars from falling accidentally through the hole.",ham,neutral,,x,x,
946,"what's wrong with more public transport?  individual cars in tunnels is not mass transit. ..
.i like the tech but it going to be expensive and only for the rich.",ham,neutral,,,,x
956,Why is the car elevator so slow? It will cause a traffic jam.,ham,neutral,,x,,x
961,The first idiot who parked on the elevator will cause the collapses of the whole section...but it's a good idea.,ham,neutral,,x,,
962,"Nice, I'm missing some pull-out railing. I do not want to get into that hole after the elevator ;-)",ham,neutral,,x,x,
963,"I don't get what exactly does this fix and how. You're just moving the problem around, building more infrastructure,
 wasting more money and solving nothing. It's simple math. The same number of people will drive the same number of cars. It's not doing anything to solve traffic.",ham,negative,,x,,x
969,Imagine parking your car accedently in that place then coming back and finding it in a completly deffrent country,ham,neutral,,x,,
970,"The fucked up thing is that a lot of people will be using these tunnels just for the hell of it, just for fun.
 The real people who need to get somewhere quickly will be waiting and waiting in those long ass lines.",ham,negative,,x,,
975,"Im no construction manager, but im pretty sure that this shit would have more 
than one car in line if the service was actually free",ham,neutral,,,,
979,Or you can just take the train? saves space and money....,ham,neutral,,,,x
987,"well the sim makes it look flawless. but what happens when the earthquake hits? 
do you have to drive a Tesla to fit into the conveyance? IDK. I'd check it out, tho.",ham,neutral,,,x,
989,What if there's an accident undergrounds...?,ham,neutral,,,x,
998,"I don’t think they actually plan on putting the elevators on roads. They’ll probably put them in parking lots, parking garages, buildings, and empty space. There might be some in the street, but I’m sure if this becomes highly integrated which In cities, which I definitely see happening, then they’ll think of the most efficient locations. 

Also, tunnels can be designed to withstand earthquakes.",ham,neutral,x,,,
1004,"What is wrong with this theory of mass transportation using tunnels, is how people will have long distances to travel and aren’t just concerned with getting from point A to point B. They want to see things along the way and not have to always have their heads stuck inside of viewing laptop, phone and iPad content. They want to look at other cars, see people walking and other things they take for granted which are along the ways ro their destinations. Imagine how these tunnels would make a claustrophobic person feel.",ham,negative,,,,
1007,"Imagine the chaos when people in the city start fighting over tunnel car spots. It’s like parking at a mall. 
Natural instinct for most is to get the parking spot first even if it means risking an accident.",ham,negative,,x,x,
1011,"I often wished of this years ago working in corporate America, sitting in traffic, thinking, if only the cars were all on 1 rail, 
and could go the same speed, we'd get there a lot faster.  I don't want to sound like a construction manager, but what happens when you lower the car?  Is there a huge gaping hole in the street, some moron drives their car on top of you?  Also, what if someone decides to drive their car off the trolley in the tunnel, and causes an incident where the trolleys shut down, how do you get emergency responders to the scene?  I could go on... terrorists, earthquakes, stupid people, etc.  I can only imagine there being some malfunction, and I would wind up sitting in the tunnel in my car for hours, not able to move.  No thanks.  Flying cars are a better idea.",ham,negative,,x,x,
1016,How about if there was an earthquake??,ham,neutral,,x,x,
1017,"Until the homie's open the door in the tunnel going 200km an hour. Seee yea, Henry. Or someone throws a pipe wrench out the window, 
and it lands on the track. 200km an hour and you all of a sudden jam. Looks nice, but lots of variables. Hey Elon, I need a job.",ham,neutral,,x,x,
1020,Electric platforms carrying (mostly) gas burning cars. Human's are weird.,ham,neutral,,x,,
1025,Why not just have an on/off ramp to the tunnel and save all that wasted space/time/expense/mechanical nonsense?,ham,negative,,,,x
1028,"only issue i see is possible congestion waiting for the elevators, however, a plague, which is badly needed, 
would help this issue",ham,negative,,,,
1030,Is the car transporters for Teslas only?,ham,neutral,,,,
1042,"Considering the cost of this, it would make sense to just invest more into public transport.",ham,neutral,,,,x
1043,"Why bother with all this ludicrously expensive infrastructure IN ADDITION to roads?! 
A network of self-driving cars driving at max of 50mph without any lights or stop signs can already achieve insane increases in efficiency - we can get places 2X faster on average while using less than half the energy.",ham,neutral,,,,x
