Nr.,Comment in English,Spam / Ham,Polarity,Likes,Replies
48.0,Why is this on my recommendations?,spam,neutral,0,0
49.0,"Me : I hate this traffic

Elon Musk : I hate this traffic I am going to build a tuneel",spam,negative,1,0
50.0,"So this proves that First People went in Metros then they go in cars with wheels now
 they buy a car to travel in a metro. Hence, people are kinda stooopid lol",spam,negative,0,0
51.0,"*Ok, so this is how the vent looks like in Among us*",spam,neutral,2,0
52.0,*Red is an impostor..he used vent*,spam,neutral,1,0
53.0,50 years ago this was fantasy but now modern day it’s facts  tunnels under Las Vegas,spam,neutral,0,0
54.0,"And that's how humanity die n sank to the bottom of the ocean when nuclear weapons were being tested.
So remember kids, don't build a fucking tunnel underground when earth 🌎 surfaces weighs more than a shit ton, and ESPECIALLY if you came from taking a massive blunt",spam,negative,0,0
55.0,Can you make it real? It is cool,spam,positive,0,0
56.0,"Ye, in the future everyone be gettin’ Tesla. Cuz who wouldn’t?",spam,neutral,1,0
57.0,People in 2077 laughing at this video from Mars,spam,neutral,0,0
58.0,"Nice mate you just invented something new called "" TUNNEL TRAFFIC""",spam,negative,0,0
59.0,Elon are you okay?,spam,neutral,0,0
60.0,"“WHO ELSE HAS BEEN A FAN BEFORE OCTOBER??” 🎃


“ɪᴍ ɢɪꜰᴛɪɴɢ ᴇᴠᴇʀʏᴏɴᴇ ᴡʜᴏ ʟɪᴋᴇꜱ ᴀɴᴅ ꜱᴜʙꜱ ᴛᴏ ᴍᴇ” 🎁",spam,neutral,0,1
61.0,"These tunnels will be expensive. Not for the size, but to make them Earthquake 
Proof since L.A is in an Earthquake zone. A Major Earthquake zone too.",ham,negative,2,0
62.0,"taxi, subway and buses: i'm a joke to you?",spam,neutral,0,0
63.0,It would make traffic way worse because the cars behind would have to wait,ham,negative,0,0
64.0,What happens if a car falls into the hole in the road?,ham,neutral,0,0
65.0,This thing is so boring,spam,negative,1,0
66.0,Woah this game is soo realistic!,spam,positive,0,0
67.0,Government and schools: No,spam,negative,0,0
68.0,My question is what is the car wants to go backwards like back to where the model s started,ham,neutral,0,0
69.0,I love how every other car is just a Tesla,spam,positive,0,0
70.0,And humans just keep digging and building things underground. Until they reach the Earth’s core..,spam,neutral,1,0
71.0,I freakin love Elon man...,spam,positive,0,0
72.0,"I love tesla cars
By the way the red car is a tesla model S",spam,positive,0,0
73.0,0:43 POV you’re using x ray hacks to find diamonds,spam,neutral,0,0
74.0,Putting cars underground and opening up walking spaces for people is actually a good idea.,spam,positive,0,0
75.0,Imagine the damage that an earthquake could cause to all this.,ham,negative,1,4
76.0,*elon r u ok*,spam,neutral,1,0
77.0,There’s no way Elon isn’t some movie villain that found his way into reality...,spam,negative,2,1
78.0,So this is how cars made strip mines,spam,neutral,0,0
79.0,"It looks like a hyperpod from those
 hotwheels movies",spam,neutral,0,0
80.0,Man we got that here in the UK we call it train tubes.,spam,neutral,0,0
81.0,Lol just wait until they hit a sewage pipe while drilling,ham,neutral,0,0
82.0,"Cool, but not very practical",spam,negative,0,0
83.0,"Oh, Hot wheels released a new track? :P",spam,neutral,0,0
84.0,Wtf than u buy a car to put it on another car,spam,negative,0,0
85.0,"Congratulations, you just invented the Subway. Except it's kinda less effective.",spam,negative,0,0
86.0,So you want to make world empty from inside too,spam,neutral,0,0
87.0,"I mean it's a nice concept, but I think it's practically impossible to get this job done.
 Tunnels are under ground and you have a lot of work from that. 
And with all the trash driving above the ground you'll never ever get the job done...",ham,negative,0,0
88.0,This idea is so amazing!!!!!!,spam,positive,0,0
89.0,Yea nice plan..... tunnels In the ground,spam,neutral,1,0
90.0,Nyc,spam,neutral,1,0
91.0,"200 km/h in tunnel.
My square van with shit aerodynamics-
I believe I can fly, I believe I can touch the skies",spam,neutral,0,0
92.0,Isn’t that car racism.,spam,neutral,0,0
93.0,Elon stop smoking weed,spam,negative,0,0
94.0,"Wow Elon, thanks for ruining the joy of driving cars :(",spam,neutral,0,0
95.0,"The person who does not believe on it he is totally illiterate 
&
He does not know about Elon Musk",spam,neutral,0,0
96.0,Its amazing how humans minds can reach so far good luck on the project,spam,positive,0,0
97.0,Not gonna lie I don't think that Tesla is boring there were just helping the environment,spam,positive,0,0
98.0,Are the cars gonna be lazy asf too now?,spam,negative,0,0
99.0,"Now: Congestion on roads, Elon Musk starts making tunnel UNDER roads
When tunnels are done: Congestion in TUNNELS",ham,neutral,0,0
100.0,I hate this so very much,spam,negative,0,0
101.0,"how dare you take control away from stupid drivers?
 WHERE WILL I GET MY IDIOT DRIVER FIX ON YOUTUBE?",spam,negative,0,0
102.0,i am scared.......,spam,negative,0,0
103.0,Earthquakes will have a field day with this one,ham,neutral,0,0
104.0,Loving the concept,spam,positive,0,0
105.0,Hey elon,spam,neutral,0,0
106.0,"Can I push the ""ludicrous"" button and take off into the tunnel doing 0-60 in 2 seconds?",spam,neutral,0,0
107.0,Hey now you're thinking with portals,spam,neutral,0,0
108.0,Ngl this is kinda boring,spam,negative,0,0
109.0,What if an idiot falls into the hole when the Tesla went down,ham,neutral,1,0
110.0,Cool,spam,positive,0,0
111.0,This video title both most vague and most descriptive of all titles,spam,neutral,0,0
112.0,If I saw this in real life I be like oml,spam,neutral,0,0
113.0,"Without searching 
This pops up in my suggestion after 3 years",spam,neutral,0,0
114.0,Isn’t that just a train?,spam,neutral,0,1
115.0,that will happen in 21century or 2045+,spam,neutral,0,0
116.0,RTX on,spam,neutral,0,0
117.0,Where the hell isn't this like awesome yet holy shit this would be great,spam,positive,0,0
118.0,train cars,spam,neutral,0,0
119.0,It sucks it’s only for Tesla,spam,negative,0,1
120.0,I really want the name of this song,spam,neutral,0,0
121.0,"I saw this 2 yrs ago
And it's recommended again
Lol hi",spam,neutral,0,0
122.0,"So is there just a hole in the road? This seems kinda dangerous... 
Haha but really cool concept I think this will be the future if not flying traffic is:))",ham,neutral,0,0
123.0,This si gonna take him years,spam,negative,0,1
124.0,Why is this on my recommendation,spam,neutral,0,0
125.0,my boi elon reading the future,spam,neutral,1,0
126.0,I have one question. Why would anyone actually need this?,spam,neutral,0,1
127.0,Future is weird,spam,negative,0,0
128.0,Jesus christ what a bottleneck,spam,neutral,1,0
129.0,"This reminds me of all the people in WALL-E, but replaced with cars",spam,neutral,7,0
130.0,Im speed,spam,neutral,0,0
131.0,"Many cars will fall in these holes, cars will fall in the hole",ham,negative,1,0
132.0,thats actually really cool,spam,positive,0,0
133.0,why?,spam,neutral,0,0
134.0,"Top speed in tunnels: 200 km/h
Germany: hold my autobahn",spam,negative,43,0
135.0,Yep then little Timmy falls down the Tesla pit,ham,neutral,9,1
136.0,Nice,spam,positive,0,0
137.0,Hmmm so Elon musk created the boring company,spam,neutral,0,0
138.0,Wow! It'll be cool !,spam,positive,0,0
139.0,This would take another 100 years to make,spam,neutral,1,2
140.0,"yessss REALLY BORING REALLLYYYY smh NIGGA 
WHAT KIND OF IMAGINATION YALL HAVE TO THINK ABT THIS",spam,negative,0,0
141.0,This is sick,spam,negative,1,0
142.0,what would happened if a car were to be on the pads like on the surface,ham,neutral,0,1
144.0,This cud fail 100%,spam,negative,0,0
145.0,Sounds boring...,spam,negative,0,0
146.0,Is it only for Tesla owners,spam,neutral,1,0
147.0,What the point of a car then,spam,neutral,1,0
148.0,What about the rain and snow?,ham,neutral,1,0
149.0,Boring.,spam,negative,0,0
150.0,Does it have a SpaceX DLC?,spam,neutral,0,0
151.0,"A metro rail with extra steps, inefficiency, and fuel cost.",ham,negative,0,0
152.0,Backsong is like in Oneplus 5T,spam,neutral,1,0
153.0,😀👍 super idea!!💯💯💯💯,spam,positive,0,0
154.0,Just imagine getting into a crash in there,ham,negative,0,0
155.0,10/10 for the idea..1/10 for practicality,spam,neutral,0,0
156.0,"How would this work with cities that you cant build 
underground like Florida? would the be floating tunnels lol-",ham,negative,2,0
157.0,What if a gas car hops on and gets it in the tunnel or will it know if it’s a gas car,ham,neutral,0,0
158.0,0:44 im sorry but you probably cant make that underground,spam,negative,0,0
159.0,boooooooooooooooooooooooooooooooooooooooooooooooooooooooring,spam,negative,0,0
160.0,Im like you idea!! Is nice!!,spam,positive,0,0
161.0,I like it.,spam,positive,0,0
162.0,Imagine if you need to own a Tesla to use this😂😂,spam,negative,0,0
163.0,"Me : inside tunnel 
Radio : signs of earthquake in our city",spam,negative,12,2
164.0,Sweet idea melon husk,spam,positive,0,0
165.0,"Uh oh crackheads are gonna love this... Watch your going to see like 
5 homeless peeps riding this down into there new cardboard duplex",ham,neutral,0,0
166.0,So basically you’re gonna need to buy a Tesla,spam,neutral,0,0
167.0,Use me as a here before 6.9 million views comment.,spam,neutral,0,0
168.0,"Why? If this is the future of vehicles I honestly don’t care for it because 
if you need a platform to drive your vehicle damn your lazy. What’s next a platform that takes your elevator?",spam,neutral,0,0
169.0,elon is the creaziest man since ever,spam,neutral,0,0
170.0,"I don't think this concept is feasible. It simply can't be making positive returns. The cost of digging a subway tunnel in US city is about 2.5 billion dollars, so...

Or maybe Elon Musk signed some kind of deal with the devil for 99% discount for digging tunnels, I dunno.",ham,negative,1,0
171.0,I prefer Subway,spam,negative,0,0
172.0,What about the electric?,ham,neutral,0,0
173.0,Its like an underground for ur car USELESS,spam,negative,0,0
174.0,So why bother having a car at all,spam,negative,0,0
175.0,imagine if you get into that thing on foot it would be so fun,spam,neutral,0,0
176.0,60k people like this ..... i wonder if they still like it when they crash the car into a hole in the road,ham,negative,0,0
177.0,cool,spam,positive,1,0
178.0,Comming soon to you in 2380,spam,negative,1,0
179.0,Does the Boring Machine have a lithium-extraction function built in?   -.^,spam,neutral,0,0
180.0,"Frankly, it's just subway for cars",spam,neutral,1,0
181.0,The new Gta6 trailer be looking good...,spam,positive,0,0
182.0,Bunch of holes in the earth now,spam,neutral,1,0
183.0,INVEST,spam,neutral,1,0
184.0,is this a game,spam,neutral,0,0
185.0,2120 normal road will be better than this tunnel.,spam,negative,0,0
186.0,is that a tesla,spam,neutral,0,0
187.0,This is a great idea not gonna lie,spam,positive,0,0
188.0,Bruh even the earth is turning into a street 😂,spam,neutral,3,0
189.0,That's not boring,spam,neutral,1,0
190.0,Is there a extra toll or do u have to book it in ur Tesla screen,ham,neutral,0,0
191.0,Thst future look copl,spam,neutral,0,0
192.0,Why Elon?,spam,neutral,0,0
193.0,"Boring company is not actually boring, it's Boring. Like drilling holes. 🤯",spam,neutral,16,0
194.0,"Jesus saves! Confess Jesus is Lord and believe in your heart that 
God raised Him from the dead and you will be saved!! (Rom. 10:9)",spam,neutral,0,1
195.0,But is it only for rich or for everyone?,ham,neutral,0,0
196.0,This is wow 🤩,spam,positive,0,0
197.0,I don't think this is a great idea,spam,negative,0,0
198.0,"love it its still amazing cause i dont like future cause 
it dont have alot of details i like it also on road not on sky.",spam,positive,0,0
199.0,Totally unsafe if some one falls in that hole,ham,negative,0,0
200.0,Totally safe there is just a hole in the road after the elevator goes down,ham,neutral,0,0
201.0,"I’m sorry but this doesn’t make sense to me. It will be slow as roads
 because once every starts using the tunnels then there will be lines and then you mine as well drive there",ham,neutral,0,3
202.0,Bullshit...,spam,negative,0,0
203.0,The *boring* company,spam,negative,0,0
204.0,i like it,spam,positive,0,0
205.0,So how much of my property do I have to sell to use this dlc?,spam,neutral,1,0
206.0,this takes the london underground to a whole new level,spam,neutral,2,0
207.0,"ՏᑌᗷᗷIᑎᘜ TO ᗩᑎYOᑎᗴ ᗯᕼO ᒪIKᗴ'Տ TᕼIՏ ᑕOᗰᗰᗴᑎT

ᗩᑎᗪ ՏᑌᗷՏ TO ᗰᗴ ᗷᗩᑕK 👈❤️🔥 I'ᗰ ᖴᗩՏT 🔥 Lets grow together!",spam,neutral,0,1
208.0,guest what: its only for tesla cars,spam,neutral,0,0
209.0,this will probably be in mars firdt,spam,neutral,0,0
210.0,big brainnnnnnn,spam,neutral,0,0
211.0,Why not just use the self driving part of the Tesla what’s the point of the carrier thing.,ham,neutral,1,1
212.0,utopia,spam,neutral,0,0
213.0,How is this boring?,spam,neutral,0,0
214.0,"We use walking to get somewhere. We were too lazy to walk, so we domesticated the horses,
 they were too slow, so we invented the car and now we are building trains for cars. Nice",spam,neutral,0,0
215.0,"What if...someone falls into that hole if he is behind the tesla *in night*....?🧐
 and if it’s a separate lane for tesla...then it’s gonna cause more traffic...😑",ham,negative,0,0
216.0,Genius👌,spam,positive,0,0
217.0,Amazing!!! I wish this comes true. It will save so much time.,spam,positive,0,0
218.0,Lol 6.9Milion views,spam,neutral,0,0
219.0,I don't want to live like this I'll stick with a supra,spam,negative,0,0
220.0,"2020: I wish we had an elevator
9083: I LOVE IT",spam,neutral,1,0
221.0,(° ͜ʖ°),spam,neutral,0,0
222.0,This is how the earth will collapse. Frack away!,spam,negative,0,0
223.0,Red vented,spam,neutral,0,0
224.0,"The future is here, still waiting for flying cars tho",spam,neutral,1,0
225.0,well we can get a new idea for Final Destination,spam,neutral,0,0
226.0,"Elon musk's plan for hyperloop is great.
Actually every elon's work is great.
Elon the futurist is gonna change the world.",spam,positive,0,0
227.0,Lul rocked me,spam,neutral,0,0
228.0,I one question. How would that be,spam,neutral,0,0
229.0,What's the name of this music?,spam,neutral,0,0
230.0,"“Where should we build a new train track?” “Sorry, all this city is full. Please try again later.”",spam,neutral,1,0
231.0,BORING,spam,negative,0,0
232.0,Boring,spam,negative,0,0
233.0,This new minecraft train update kinda stinks,spam,negative,0,0
234.0,r u ok elon,spam,neutral,2,0
235.0,The Boring Company is quite interesting,spam,positive,0,0
236.0,yeah this sure is BORING,spam,negative,2,0
237.0,..I can do  this programming,spam,neutral,0,0
238.0,Lol trust me you're gonna see a million cars line up to use the tunnel,ham,neutral,0,0
239.0,i care more about that flamethrower,spam,negative,0,0
240.0,Just wait for the grandma to drive into the hole when the lift is lowered,ham,neutral,0,0
241.0,"Nobody:
Hyperpods: 0:36",spam,neutral,0,0
242.0,IS THIS GOING TO BE REAL THO PLEASE SOMEBODY TELL MW,spam,neutral,0,0
243.0,"“So what i learned today”

Robots are gonna take over the world",spam,neutral,0,0
244.0,If this is going to be real then wow,spam,neutral,0,0
245.0,"Elon musk
In 2090 buys earth",spam,neutral,1,0
246.0,Will this work on non-tesla cars too?,ham,neutral,0,0
247.0,Soo they build this tunnel?,spam,neutral,0,0
248.0,Don’t get it,spam,negative,1,0
249.0,They should do that but make it only for teslas,ham,neutral,0,0
250.0,Elon is the man of the future,spam,neutral,0,0
251.0,The future is amazing,spam,positive,0,0
252.0,What that song in this video?,spam,neutral,0,0
253.0,"Ideas are one thing, implementation is another.",spam,neutral,0,0
254.0,Tesla,spam,neutral,0,0
255.0,"just like quarantine
booring",spam,negative,0,0
256.0,Thats boring,spam,negative,0,0
257.0,People call him mad man until.......,spam,neutral,0,0
258.0,imagine hearing rumbling underground forever,ham,neutral,1,0
259.0,"Do u drive a car or use subway?
Me:",spam,neutral,2,0
260.0,Damn Elon Musk is Really Crazy  I wish I have tesla,spam,neutral,0,0
261.0,"Actually, It look pretty cool and Amazing from some reason.",spam,positive,1,0
262.0,“And then he fucking shot his car in space 🤣🤣🤣”,spam,neutral,0,0
263.0,New age,spam,neutral,0,0
264.0,I think America already already has enough tunnels underground,spam,negative,0,0
265.0,This would be lit no cap,spam,neutral,0,0
266.0,elon ru ok,spam,neutral,0,0
267.0,So its a transporting system to transport your transporting vehicle for your transportation?,spam,neutral,0,0
268.0,Electricity Isn't eco 🙃,spam,negative,0,0
269.0,I wish my city had some of these,spam,neutral,0,0
270.0,Or emergency stop button,spam,neutral,0,0
271.0,Very unsafe I see no emergency exit at all,ham,negative,0,0
272.0,Why did Elon Musk send a fucking car to space? It was to test the Falcon Heavy. I think...,spam,neutral,0,0
273.0,"these ubers are convenient for shadows of ""us""😂",spam,neutral,0,0
274.0,"if that can carry man, why should it be carrying those unwanted weights of car
 jeez waste of tons of energy",ham,negative,0,1
275.0,"I remember now what were going to bore, Sam... I mean Mr. Musk.",spam,negative,0,0
276.0,Interesting,spam,positive,0,0
277.0,Man this makes Elon the best tunel bruh,spam,positive,0,0
278.0,Elon are you ok?,spam,neutral,0,0
279.0,"All this make want to just stay home.
Futuristic nightmare.",spam,negative,0,0
280.0,WOW,spam,neutral,0,0
281.0,Elon do you need any help,spam,neutral,0,0
283.0,"Well,its really ""Boring"" tho.. Waitin' at traffic.",spam,neutral,0,0
284.0,Wait it's that how future work?,spam,neutral,0,0
285.0,Basicly a train track for cars.,spam,neutral,0,0
286.0,I’m excited for this. I live in LA and traffic SUCKS. I also love my Tesla,spam,positive,0,0
287.0,loud,ham,neutral,0,0
288.0,"This can’t fix traffic problem elon 
People will fight for their place",spam,negative,0,0
289.0,:( i didn’t get a tesla my family have no money,spam,neutral,0,0
290.0,"Just wait until there's a derail in one of these tunnels, cars would smash into each other causing pileups, and would make traffic even worse than ever. Not to mention the fact that there is no emergency stop/braking system on the pad. What if there's a fire, an explosion and a pile of smoke coming from the tunnels, earthquakes? Etc. I'd just prefer to be stuck in traffic.",spam,negative,0,2
291.0,"Before I leave this earth I’ll ride wherever the tunnels are,
 Los Angeles, Vegas or wherever!!!! TAKE MY MONEY 💰!",spam,positive,0,0
292.0,Elon r u ok?,spam,neutral,0,0
293.0,"One thing that people don’t realize about driving, it’s all about sight seeing.
 Who the hell wants to look at concrete wall for   30 minutes straight.",ham,neutral,7,2
294.0,I can wait for this high speed Transportation in are City of Chicago !!!! 😎,spam,positive,1,0
295.0,what is someone jumps down there?,ham,neutral,0,1
296.0,elon is something else tbh,spam,neutral,0,0
297.0,"This is something that is inevitable in Chicago. I’ve long thought that I-290 and parts of I-90 will either have to build tunnels or build elevated highways over existing ones. 
If you look at I-290 heading into downtown Chicago there is literally no room to expand the highway - each side has access roads and houses making expansion impossible. 
An elevated highway might be cheaper to build but would likely be more expensive to maintain - especially during the winter. Some kind of steam heating built underneath the road would be needed to stop snow accumulation. 
If the costs of tunneling go down it will be the way forward for cities like Chicago where there is no more room to build standard highways.",ham,positive,1,0
298.0,Congratulations on 100K subs,spam,positive,0,0
300.0,I am speed,spam,neutral,0,0
301.0,And if it was the queue for accessing this?,ham,neutral,0,0
302.0,it would be insane if you could charge your car while riding the tunnel,ham,neutral,0,0
304.0,Funny thing is traffic is gonna exist there now,ham,neutral,0,1
305.0,Not posible its full of shit out there becouse no space for tunnels canalization,ham,positive,0,0
306.0,it will be great for countries having the worst traffic.,spam,neutral,0,0
307.0,"A subway for the rich! 
This guy is the ultimate genius.",spam,positive,0,0
308.0,Why?,spam,neutral,0,0
309.0,The “boring” company,spam,negative,0,0
310.0,This is the future,spam,neutral,0,0
311.0,"How to Access A Boring Tunnel:
Step 1: Buy A Tesla
Step 2: Put It On Cargo To Los Angeles
Step 3: Fly To Los Angeles
Step 4: Pick Your Tesla Up
Step 5: Make Your Way To The Boring Tunnel Transporter 
Step 6: Pay 500$ For It
Step 7: Use It
Step 8 (Optional): Pay 250$ To Go 200KMH
Total Spent: 1,000,000$",spam,negative,25,2
312.0,Is this real?,spam,neutral,0,0
313.0,"Wow, so unboring",spam,positive,0,0
314.0,Elon musk 2024,spam,neutral,0,0
315.0,how is it going so far?,spam,neutral,0,0
316.0,Isn't it underground train,spam,neutral,6,0
317.0,elon r u okay,spam,neutral,0,0
318.0,Noice that advanced  Elon musk=BIG BRAIN,spam,neutral,0,0
319.0,See you in a 3190,spam,neutral,0,0
320.0,gta 6 looking good,spam,neutral,0,0
321.0,I fear for future generations.,spam,negative,0,0
322.0,Elon (high af): duuude wouldnt it be so cool if we built a fuck ton of tunnels under the city?,spam,neutral,0,0
323.0,is this actually gonna be a thing??,spam,neutral,0,0
324.0,I will buy your company for thirteen dollars and fifty two cents.,spam,neutral,1,1
325.0,Elon r u OK,spam,neutral,0,0
326.0,Why does this video rememind me of that hotwheels movie...,spam,neutral,0,0
327.0,"This is a great dream Elon, I really hope you achieve this with everyone who works for you!",spam,positive,6,0
328.0,What if there was an accident inside the tunnels? Tf they gonna do then,ham,neutral,0,0
329.0,I would use It only If goes over 300mph like Hotwheels,ham,neutral,0,0
330.0,"Only a complete lack of intelligence and education could generate
 such an idea. Elon Musk is just an ordinary humanist fraud. Fucking shame.",spam,negative,0,0
331.0,Yeah 200kmh with an Opel Corsa,spam,neutral,0,0
332.0,Never gonna Happen to much Problems,spam,negative,0,0
333.0,"How many of these can co-exists? traffic would start to build 
up for these Taxis and then we would be back to square one!",ham,negative,0,0
334.0,Does this game work on Xbox?,spam,neutral,1,0
335.0,"going really fast under a city instead of going through 
the bussy traffic or going around it sounds nice",spam,positive,0,0
336.0,"Here I go hanging myself out to criticism...I agree with the concept of tunnels.
  Surface real estate is finite. The earths population is and will continue to grow and the need for that finite real estate will compete among transportation, housing and agriculture.  It is better to commute in tunnels than try to grow crops.  The two big obstacles to overcome is the mindset of man(kind) and cost per cross-sectional area.  My biggest concern is lack of foresight planning which takes into account other needs for subterranean real estate.",ham,positive,0,0
337.0,I SEE SOMEONE WATCHED THE FILM I'M A LEGEND,spam,neutral,0,0
338.0,Literally car trains,spam,neutral,0,0
339.0,"me: wow this is a great idea

my head: now i can get to starbucks at 8:00 am instead of 8:01 am",spam,neutral,2,1
340.0,Where can i buy this game? I hope Elon Musk will release it soon,spam,positive,1,1
341.0,traincar,spam,neutral,0,0
342.0,https://m.youtube.com/watch?v=BypYLtu5mGc,spam,neutral,0,0
343.0,this game looks insane ngl,spam,negative,0,0
345.0,i love how people don't have to do anything infuture,spam,positive,0,0
346.0,"Years of studying about self driving cars, and now this?? Wtf",spam,negative,2,0
347.0,Nice gameplay,spam,positive,0,0
348.0,X-Æ A-12,spam,neutral,0,0
349.0,What if there was a 6.9 earthquake that would be pretty cool.,ham,positive,0,0
350.0,Ah shit i dont like tesla,spam,negative,0,0
351.0,why did youtube recommend me this? i don't even live in the USA,spam,neutral,0,0
352.0,Personal vehicles don't make sense anymore  in an overpopulated world.,spam,negative,0,0
353.0,Society If cringe didnt exist,spam,neutral,0,0
354.0,elon r u ok,spam,neutral,0,0
355.0,Someone needs to check up on Elon...,spam,neutral,0,0
356.0,𝗚𝗧𝗔 6 𝗧𝗥𝗔𝗜𝗟𝗘𝗥 𝗢𝗙𝗙𝗜𝗖𝗜𝗔𝗟,spam,neutral,1,0
357.0,Park your car and wait for your turn to enjoy tunnel.,ham,neutral,0,0
358.0,WHO WATCHING DIS IN QUARANTINE,spam,neutral,0,0
359.0,"Teslas are so sexy, I wish I have one!",spam,positive,0,0
360.0,I hate the fact that we are in 2020 and still building tunnels instead of flying cars.,ham,negative,0,0
361.0,Imagine the stuff that would go on in those tunnels...,spam,neutral,0,0
362.0,"this is a great idea. if you ever reach to do this, you could make it to be a paid service.
 ex: the ppl could call it railcar, or something like it, and put it a monthly price. how would the ppl gain acces to the tunnels? using a box (kinda like the auto toll ones) in its car. i hope anyone saw this idea.",ham,positive,0,0
363.0,"Elon said ""why not"", isnt that true? so, why not do homeworks..",spam,neutral,0,0
364.0,Earth is Elon’s playground,spam,neutral,0,0
365.0,The dumbest idea ever thought,spam,negative,0,0
366.0,Anyone watching this in 2020?,spam,neutral,0,0
367.0,why disebt elon do something to save earth#,spam,neutral,0,1
368.0,"We need more Elons than Trumpies, Hillaries or Putins.",spam,neutral,132,14
369.0,So I'm guessing they going to make this only for Tesla owners good strategy,spam,positive,0,0
370.0,Rockstar add plz,spam,neutral,0,0
372.0,It’s basically a car in a car,spam,neutral,0,0
373.0,Emagin you traveling 124mph that's so cool,spam,positive,0,0
374.0,So now ur saying every single car will be a Tesla?!?,spam,neutral,6,1
375.0,Imagine havinga underground city,spam,neutral,0,0
376.0,Are you ok?,spam,neutral,0,0
377.0,my favorite song by this band. 'tunnels' is so chill to study or relax to.,spam,neutral,0,0
378.0,"there is fantasy in it, but it would cost a lot of money to build it,
 but then what would make sense for the surface to travel",spam,neutral,2,0
380.0,So boring.,spam,negative,0,0
381.0,WHEN WILL THIS BE BUILT?! :O,spam,neutral,0,0
382.0,I feel so sad for  the guy who create this company,spam,negative,0,0
383.0,This is great if u don't wanna miss a movie on Elon Musk,spam,neutral,0,0
385.0,"I think could be a real thing in Boston, and New York, it looks like a 2022 year project! Good idea",spam,positive,0,0
386.0,"How many Audi drivers will cut you up to get underground before you
?Can Elon design a Destroy an Audi app to prevent this?",spam,negative,0,0
387.0,woah is this real,spam,neutral,0,0
